"",BBK01.OECB12J,BBK01.OECB12J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:12,
2002-01,0.410,
2002-04,0.384,
2002-07,0.369,
2002-10,0.369,
2003-01,0.350,
2003-04,0.344,
2003-07,0.337,
2003-10,0.333,
2004-01,0.322,
2004-04,0.315,
2004-07,0.291,
2004-10,0.275,
2005-01,0.278,
2005-04,0.267,
2005-07,0.270,
2005-10,0.263,
2006-01,0.249,
2006-04,0.250,
2006-07,0.256,
2006-10,0.260,
2007-01,0.280,
2007-04,0.289,
2007-07,0.326,
2007-10,0.318,
2008-01,0.323,
2008-04,0.351,
2008-07,0.363,
2008-10,0.366,
2009-01,0.356,
2009-04,0.365,
2009-07,0.346,
2009-10,0.356,
2010-01,0.340,
2010-04,0.331,
2010-07,0.333,
2010-10,0.327,
2011-01,0.327,
2011-04,0.307,
2011-07,0.308,
2011-10,0.334,
2012-01,0.329,
2012-04,0.466,
2012-07,0.471,
2012-10,0.406,
2013-01,0.417,
2013-04,0.400,
2013-07,0.405,
2013-10,0.421,
2014-01,0.410,
2014-04,0.404,
2014-07,0.398,
