"",BBK01.OEBL01Q,BBK01.OEBL01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:03,
2002-01,6.475,
2002-04,6.283,
2002-07,6.197,
2002-10,6.360,
2003-01,6.232,
2003-04,6.186,
2003-07,6.654,
2003-10,6.778,
2004-01,6.534,
2004-04,6.543,
2004-07,6.538,
2004-10,6.462,
2005-01,8.791,
2005-04,8.826,
2005-07,8.841,
2005-10,9.097,
2006-01,9.887,
2006-04,10.221,
2006-07,10.210,
2006-10,10.924,
2007-01,11.997,
2007-04,13.277,
2007-07,14.045,
2007-10,14.701,
2008-01,15.567,
2008-04,17.330,
2008-07,18.103,
2008-10,18.494,
2009-01,17.699,
2009-04,18.054,
2009-07,17.498,
2009-10,17.315,
2010-01,17.388,
2010-04,17.844,
2010-07,17.854,
2010-10,18.229,
2011-01,18.204,
2011-04,18.241,
2011-07,18.331,
2011-10,18.500,
2012-01,18.694,
2012-04,18.905,
2012-07,19.162,
2012-10,19.361,
2013-01,19.282,
2013-04,19.790,
2013-07,19.915,
2013-10,20.450,
2014-01,20.352,
2014-04,20.684,
2014-07,20.928,
