"",BBK01.OEBL09G,BBK01.OEBL09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:04,
2002-01,1.966,
2002-04,1.811,
2002-07,1.797,
2002-10,1.707,
2003-01,1.580,
2003-04,1.477,
2003-07,1.340,
2003-10,1.291,
2004-01,1.237,
2004-04,1.207,
2004-07,1.170,
2004-10,1.270,
2005-01,1.011,
2005-04,0.991,
2005-07,0.733,
2005-10,0.704,
2006-01,0.709,
2006-04,0.785,
2006-07,0.902,
2006-10,1.009,
2007-01,1.386,
2007-04,1.565,
2007-07,1.688,
2007-10,1.905,
2008-01,1.988,
2008-04,2.080,
2008-07,2.200,
2008-10,3.166,
2009-01,3.078,
2009-04,3.035,
2009-07,3.016,
2009-10,2.401,
2010-01,1.950,
2010-04,1.884,
2010-07,1.794,
2010-10,2.212,
2011-01,2.525,
2011-04,2.602,
2011-07,2.561,
2011-10,2.423,
2012-01,2.287,
2012-04,2.350,
2012-07,2.194,
2012-10,1.874,
2013-01,1.513,
2013-04,1.205,
2013-07,1.122,
2013-10,1.067,
2014-01,1.201,
2014-04,1.145,
2014-07,1.248,
