"",BBFN1.M.DE.N.1.L.BR.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BR.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Brazil,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:30,
1994-12,1.095,
1995-01,1.075,
1995-02,1.086,
1995-03,1.047,
1995-04,1.100,
1995-05,1.102,
1995-06,1.067,
1995-07,1.096,
1995-08,1.100,
1995-09,1.167,
1995-10,1.131,
1995-11,1.184,
1995-12,1.324,
1996-01,1.267,
1996-02,1.194,
1996-03,1.178,
1996-04,1.214,
1996-05,1.207,
1996-06,1.158,
1996-07,0.988,
1996-08,1.005,
1996-09,0.979,
1996-10,1.000,
1996-11,1.010,
1996-12,1.169,
1997-01,1.069,
1997-02,1.047,
1997-03,1.041,
1997-04,1.104,
1997-05,1.118,
1997-06,1.011,
1997-07,1.008,
1997-08,1.012,
1997-09,1.015,
1997-10,1.021,
1997-11,1.007,
1997-12,1.190,
1998-01,0.954,
1998-02,0.995,
1998-03,1.028,
1998-04,1.020,
1998-05,1.035,
1998-06,1.029,
1998-07,1.073,
1998-08,1.016,
1998-09,1.144,
1998-10,1.118,
1998-11,1.046,
1998-12,1.008,
1999-01,0.969,
1999-02,0.999,
1999-03,0.993,
1999-04,0.669,
1999-05,0.644,
1999-06,0.738,
1999-07,0.748,
1999-08,0.754,
1999-09,0.712,
1999-10,0.713,
1999-11,0.698,
1999-12,0.774,
2000-01,0.777,
2000-02,0.734,
2000-03,0.909,
2000-04,0.897,
2000-05,0.975,
2000-06,0.913,
2000-07,1.036,
2000-08,1.060,
2000-09,1.108,
2000-10,1.090,
2000-11,1.204,
2000-12,0.929,
2001-01,0.909,
2001-02,0.933,
2001-03,0.863,
2001-04,0.866,
2001-05,0.860,
2001-06,0.928,
2001-07,0.955,
2001-08,0.917,
2001-09,0.964,
2001-10,0.917,
2001-11,0.909,
2001-12,1.033,
2002-01,0.940,
2002-02,0.907,
2002-03,0.856,
2002-04,0.893,
2002-05,0.942,
2002-06,0.918,
2002-07,0.869,
2002-08,0.864,
2002-09,0.835,
2002-10,0.782,
2002-11,0.733,
2002-12,0.769,
2003-01,0.722,
2003-02,0.691,
2003-03,0.676,
2003-04,0.685,
2003-05,0.670,
2003-06,0.648,
2003-07,0.653,
2003-08,0.712,
2003-09,0.631,
2003-10,0.597,
2003-11,0.592,
2003-12,0.535,
2004-01,0.502,
2004-02,0.501,
2004-03,0.534,
2004-04,0.531,
2004-05,0.546,
2004-06,0.540,
2004-07,0.546,
2004-08,0.546,
2004-09,0.586,
2004-10,0.561,
2004-11,0.561,
2004-12,0.563,
2005-01,0.568,
2005-02,0.556,
2005-03,0.631,
2005-04,0.601,
2005-05,0.599,
2005-06,0.618,
2005-07,0.594,
2005-08,0.628,
2005-09,0.598,
2005-10,0.611,
2005-11,0.833,
2005-12,0.841,
2006-01,0.845,
2006-02,0.776,
2006-03,0.713,
2006-04,0.865,
2006-05,0.687,
2006-06,0.749,
2006-07,0.750,
2006-08,0.797,
2006-09,0.822,
2006-10,0.837,
2006-11,0.798,
2006-12,0.876,
2007-01,0.871,
2007-02,0.837,
2007-03,0.856,
2007-04,0.864,
2007-05,0.946,
2007-06,1.008,
2007-07,0.987,
2007-08,1.086,
2007-09,1.028,
2007-10,1.018,
2007-11,1.052,
2007-12,1.043,
2008-01,0.982,
2008-02,1.033,
2008-03,0.995,
2008-04,1.060,
2008-05,1.054,
2008-06,1.075,
2008-07,1.175,
2008-08,1.172,
2008-09,1.254,
2008-10,1.259,
2008-11,1.335,
2008-12,1.302,
2009-01,1.218,
2009-02,1.131,
2009-03,1.194,
2009-04,1.052,
2009-05,1.028,
2009-06,1.044,
2009-07,1.018,
2009-08,1.059,
2009-09,1.083,
2009-10,1.034,
2009-11,0.972,
2009-12,1.108,
2010-01,1.043,
2010-02,1.071,
2010-03,1.173,
2010-04,1.175,
2010-05,1.305,
2010-06,1.531,
2010-07,1.514,
2010-08,1.559,
2010-09,1.577,
2010-10,1.411,
2010-11,1.384,
2010-12,1.558,
2011-01,1.575,
2011-02,1.521,
2011-03,1.716,
2011-04,1.675,
2011-05,1.701,
2011-06,1.725,
2011-07,1.684,
2011-08,1.915,
2011-09,2.030,
2011-10,1.654,
2011-11,1.581,
2011-12,1.931,
2012-01,1.986,
2012-02,1.995,
2012-03,2.006,
2012-04,1.911,
2012-05,1.937,
2012-06,2.059,
2012-07,1.975,
2012-08,1.970,
2012-09,1.968,
2012-10,1.832,
2012-11,1.856,
2012-12,1.872,
2013-01,1.921,
2013-02,1.933,
2013-03,1.851,
2013-04,1.913,
2013-05,1.915,
2013-06,1.912,
2013-07,1.888,
2013-08,1.756,
2013-09,1.673,
2013-10,1.651,
2013-11,1.857,
2013-12,1.994,
2014-01,1.646,
2014-02,1.596,
2014-03,1.635,
2014-04,1.548,
2014-05,1.587,
2014-06,1.671,
2014-07,1.521,
2014-08,1.626,
2014-09,1.696,
2014-10,1.591,
2014-11,1.696,
2014-12,1.833,
