"",BBAI3.Q.DE.N.V.LE.F29AAA.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAA.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Deposits up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:48,
2005-10,49,
2006-01,43,
2006-04,40,
2006-07,39,
2006-10,57,
2007-01,44,
2007-04,43,
2007-07,38,
2007-10,56,
2008-01,54,
2008-04,52,
2008-07,47,
2008-10,67,
2009-01,67,
2009-04,52,
2009-07,54,
2009-10,65,
2010-01,51,
2010-04,50,
2010-07,46,
2010-10,54,
2011-01,50,
2011-04,51,
2011-07,57,
2011-10,65,
2012-01,60,
2012-04,59,
2012-07,59,
2012-10,66,
2013-01,59,
2013-04,54,
2013-07,50,
2013-10,52,
2014-01,60,
2014-04,59,
2014-07,53,
