"",BBSF2.M.1.T.00000.TOT01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds total / Investment fund shares,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:05,
2009-09,94473,
2009-10,98493,
2009-11,101882,
2009-12,107128,
2010-01,108845,
2010-02,111210,
2010-03,116977,
2010-04,120482,
2010-05,120497,
2010-06,120641,
2010-07,123834,
2010-08,131389,
2010-09,133926,
2010-10,137599,
2010-11,140899,
2010-12,144619,
2011-01,144247,
2011-02,149176,
2011-03,147132,
2011-04,150572,
2011-05,151989,
2011-06,151045,
2011-07,152745,
2011-08,143711,
2011-09,141181,
2011-10,144983,
2011-11,146170,
2011-12,150436,
2012-01,156631,
2012-02,166589,
2012-03,167495,
2012-04,168184,
2012-05,166498,
2012-06,168923,
2012-07,183313,
2012-08,185516,
2012-09,188051,
2012-10,192841,
2012-11,196273,
2012-12,205897,
2013-01,209690,
2013-02,213530,
2013-03,219238,
2013-04,224761,
2013-05,223663,
2013-06,214739,
2013-07,222207,
2013-08,220310,
2013-09,225467,
2013-10,232765,
2013-11,234515,
2013-12,234500,
2014-01,234342,
2014-02,239338,
2014-03,240202,
2014-04,243745,
2014-05,249495,
2014-06,253199,
2014-07,259820,
2014-08,265641,
2014-09,265155,
2014-10,265813,
2014-11,273194,
