"",BBK01.OEAE24O,BBK01.OEAE24O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:58,
2002-01,0.446,
2002-04,0.444,
2002-07,0.439,
2002-10,0.435,
2003-01,0.429,
2003-04,0.427,
2003-07,0.419,
2003-10,0.420,
2004-01,0.418,
2004-04,0.421,
2004-07,0.427,
2004-10,0.447,
2005-01,0.433,
2005-04,0.431,
2005-07,0.422,
2005-10,0.297,
2006-01,0.295,
2006-04,0.303,
2006-07,0.301,
2006-10,0.289,
2007-01,0.307,
2007-04,0.303,
2007-07,0.291,
2007-10,0.272,
2008-01,0.275,
2008-04,0.271,
2008-07,0.267,
2008-10,0.296,
2009-01,0.293,
2009-04,0.307,
2009-07,0.319,
2009-10,0.311,
2010-01,0.350,
2010-04,0.382,
2010-07,0.339,
2010-10,0.491,
2011-01,0.385,
2011-04,0.447,
2011-07,0.435,
2011-10,0.424,
2012-01,0.409,
2012-04,0.407,
2012-07,0.414,
2012-10,0.471,
2013-01,0.455,
2013-04,0.419,
2013-07,0.413,
2013-10,0.417,
2014-01,0.540,
2014-04,0.596,
2014-07,0.635,
