"",BBFB1.Q.N.DE.I7.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:53,
1991-01,126.587,
1991-04,-1134.071,
1991-07,-1202.005,
1991-10,1420.554,
1992-01,1050.092,
1992-04,-721.528,
1992-07,-797.336,
1992-10,-1189.064,
1993-01,991.420,
1993-04,-1460.959,
1993-07,-4203.727,
1993-10,-952.256,
1994-01,201.427,
1994-04,-2198.013,
1994-07,-4445.051,
1994-10,-1615.439,
1995-01,-1872.120,
1995-04,-3513.863,
1995-07,-5834.584,
1995-10,-1779.048,
1996-01,-246.161,
1996-04,-3331.717,
1996-07,-5776.260,
1996-10,-1124.974,
1997-01,-2972.401,
1997-04,-3601.733,
1997-07,-6137.099,
1997-10,-440.067,
1998-01,-932.893,
1998-04,-2694.252,
1998-07,-5175.691,
1998-10,218.390,
1999-01,-800.257,
1999-04,-2074.427,
1999-07,-5433.008,
1999-10,1790.630,
2000-01,7131.662,
2000-04,3441.204,
2000-07,-5650.886,
2000-10,5130.420,
2001-01,4355.647,
2001-04,-1725.042,
2001-07,-3119.706,
2001-10,2523.697,
2002-01,5438.232,
2002-04,4424.262,
2002-07,-341.148,
2002-10,5792.515,
2003-01,4718.483,
2003-04,1062.934,
2003-07,-518.110,
2003-10,8043.192,
2004-01,11314.789,
2004-04,12839.219,
2004-07,7960.324,
2004-10,13824.973,
2005-01,16757.658,
2005-04,16421.813,
2005-07,9495.035,
2005-10,20460.314,
2006-01,25365.717,
2006-04,21662.553,
2006-07,16970.558,
2006-10,23470.770,
2007-01,31507.302,
2007-04,27328.573,
2007-07,19805.839,
2007-10,28569.393,
2008-01,30945.281,
2008-04,24930.248,
2008-07,14295.950,
2008-10,18695.067,
2009-01,21874.305,
2009-04,19808.663,
2009-07,18933.808,
2009-10,27002.993,
2010-01,20753.187,
2010-04,14782.117,
2010-07,11678.013,
2010-10,19824.055,
2011-01,23336.110,
2011-04,14596.154,
2011-07,15439.511,
2011-10,19125.922,
2012-01,20587.748,
2012-04,12605.461,
2012-07,9065.451,
2012-10,14871.113,
2013-01,16410.538,
2013-04,10717.161,
2013-07,6004.326,
2013-10,13839.830,
2014-01,17434.050,Provisional value
2014-04,10381.827,Provisional value
2014-07,8374.189,Provisional value
