"",BBK01.OECB07K,BBK01.OECB07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:19,
2002-01,0.804,
2002-04,0.858,
2002-07,0.844,
2002-10,0.656,
2003-01,0.707,
2003-04,0.762,
2003-07,0.799,
2003-10,0.933,
2004-01,1.706,
2004-04,1.298,
2004-07,1.546,
2004-10,2.369,
2005-01,1.897,
2005-04,1.909,
2005-07,1.907,
2005-10,1.865,
2006-01,1.856,
2006-04,1.595,
2006-07,1.373,
2006-10,1.402,
2007-01,1.259,
2007-04,1.197,
2007-07,1.323,
2007-10,1.367,
2008-01,1.481,
2008-04,1.631,
2008-07,1.656,
2008-10,1.541,
2009-01,1.346,
2009-04,1.670,
2009-07,1.647,
2009-10,1.744,
2010-01,1.678,
2010-04,1.898,
2010-07,1.837,
2010-10,1.543,
2011-01,1.616,
2011-04,1.593,
2011-07,2.158,
2011-10,1.909,
2012-01,1.647,
2012-04,1.822,
2012-07,1.657,
2012-10,1.569,
2013-01,1.779,
2013-04,1.862,
2013-07,1.340,
2013-10,1.351,
2014-01,1.424,
2014-04,1.732,
2014-07,1.595,
