"",BBFN1.M.DE.N.1.L.ES.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.ES.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Spain,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:13,
1982-09,0.029,
1982-10,0.024,
1982-11,0.024,
1982-12,0.018,
1983-01,0.017,
1983-02,0.019,
1983-03,0.034,
1983-04,0.034,
1983-05,0.034,
1983-06,0.029,
1983-07,0.030,
1983-08,0.030,
1983-09,0.031,
1983-10,0.034,
1983-11,0.035,
1983-12,0.025,
1984-01,0.024,
1984-02,0.027,
1984-03,0.024,
1984-04,0.022,
1984-05,0.020,
1984-06,0.019,
1984-07,0.020,
1984-08,0.018,
1984-09,0.015,
1984-10,0.018,
1984-11,0.018,
1984-12,0.020,
1985-01,0.021,
1985-02,0.024,
1985-03,0.031,
1985-04,0.036,
1985-05,0.040,
1985-06,0.042,
1985-07,0.038,
1985-08,0.041,
1985-09,0.042,
1985-10,0.040,
1985-11,0.039,
1985-12,0.037,
1986-01,0.046,
1986-02,0.040,
1986-03,0.041,
1986-04,0.044,
1986-05,0.039,
1986-06,0.039,
1986-07,0.039,
1986-08,0.038,
1986-09,0.032,
1986-10,0.034,
1986-11,0.032,
1986-12,0.031,
1987-01,0.037,
1987-02,0.032,
1987-03,0.031,
1987-04,0.031,
1987-05,0.032,
1987-06,0.030,
1987-07,0.025,
1987-08,0.026,
1987-09,0.020,
1987-10,0.026,
1987-11,0.025,
1987-12,0.026,
1988-01,0.022,
1988-02,0.036,
1988-03,0.035,
1988-04,0.039,
1988-05,0.034,
1988-06,0.029,
1988-07,0.026,
1988-08,0.032,
1988-09,0.030,
1988-10,0.041,
1988-11,0.035,
1988-12,0.033,
1989-01,0.051,
1989-02,0.053,
1989-03,0.047,
1989-04,0.049,
1989-05,0.062,
1989-06,0.062,
1989-07,0.069,
1989-08,0.115,
1989-09,0.080,
1989-10,0.084,
1989-11,0.092,
1989-12,0.112,
1990-01,0.111,comment
1990-02,0.100,
1990-03,0.117,
1990-04,0.112,
1990-05,0.112,
1990-06,0.117,
1990-07,0.122,
1990-08,0.121,
1990-09,0.119,
1990-10,0.130,
1990-11,0.118,
1990-12,0.127,
1991-01,0.108,
1991-02,0.111,
1991-03,0.128,
1991-04,0.127,
1991-05,0.127,
1991-06,0.128,
1991-07,0.128,
1991-08,0.136,
1991-09,0.151,
1991-10,0.149,
1991-11,0.160,
1991-12,0.216,
1992-01,0.234,
1992-02,0.318,
1992-03,0.332,
1992-04,0.354,
1992-05,0.321,
1992-06,0.304,
1992-07,0.280,
1992-08,0.270,
1992-09,0.283,
1992-10,0.268,
1992-11,0.191,
1992-12,0.169,
1993-01,0.173,
1993-02,0.213,
1993-03,0.220,
1993-04,0.194,
1993-05,0.237,
1993-06,0.199,
1993-07,0.239,
1993-08,0.223,
1993-09,0.208,
1993-10,0.203,
1993-11,0.212,
1993-12,0.169,
1994-01,0.156,
1994-02,0.213,
1994-03,0.202,
1994-04,0.207,
1994-05,0.219,
1994-06,0.219,
1994-07,0.251,
1994-08,0.207,
1994-09,0.240,
1994-10,0.247,
1994-11,0.270,
1994-12,0.265,
1995-01,0.310,
1995-02,0.311,
1995-03,0.292,
1995-04,0.303,
1995-05,0.298,
1995-06,0.353,
1995-07,0.375,
1995-08,0.371,
1995-09,0.395,
1995-10,0.396,
1995-11,0.397,
1995-12,0.357,
1996-01,0.342,
1996-02,0.353,
1996-03,0.382,
1996-04,0.432,
1996-05,0.434,
1996-06,0.501,
1996-07,0.466,
1996-08,0.488,
1996-09,0.606,
1996-10,0.548,
1996-11,0.524,
1996-12,0.658,
1997-01,0.606,
1997-02,0.562,
1997-03,0.500,
1997-04,0.509,
1997-05,0.506,
1997-06,0.561,
1997-07,0.552,
1997-08,0.524,
1997-09,0.601,
1997-10,0.581,
1997-11,0.566,
1997-12,0.852,
1998-01,0.787,
1998-02,0.845,
1998-03,0.789,
1998-04,0.716,
1998-05,0.758,
1998-06,0.794,
1998-07,1.074,
1998-08,1.093,
1998-09,1.490,
1998-10,1.197,
1998-11,1.214,
1998-12,1.420,
1999-01,1.478,
1999-02,1.698,
1999-03,1.740,
1999-04,1.470,
1999-05,1.457,
1999-06,1.451,
1999-07,1.443,
1999-08,1.662,
1999-09,1.705,
1999-10,1.691,
1999-11,1.837,
1999-12,2.150,
2000-01,2.008,
2000-02,2.015,
2000-03,2.361,
2000-04,2.481,
2000-05,2.441,
2000-06,2.442,
2000-07,2.541,
2000-08,2.510,
2000-09,6.400,
2000-10,6.650,
2000-11,6.685,
2000-12,6.504,
2001-01,6.858,
2001-02,7.013,
2001-03,7.238,
2001-04,6.684,
2001-05,6.684,
2001-06,7.010,
2001-07,7.238,
2001-08,7.316,
2001-09,7.667,
2001-10,6.896,
2001-11,6.603,
2001-12,6.683,
2002-01,6.807,
2002-02,7.309,
2002-03,7.458,
2002-04,7.548,
2002-05,7.805,
2002-06,3.614,
2002-07,3.391,
2002-08,3.170,
2002-09,3.686,
2002-10,3.399,
2002-11,3.405,
2002-12,3.426,
2003-01,3.479,
2003-02,3.568,
2003-03,3.658,
2003-04,3.651,
2003-05,3.896,
2003-06,3.883,
2003-07,4.031,
2003-08,4.005,
2003-09,4.253,
2003-10,4.516,
2003-11,4.971,
2003-12,4.354,
2004-01,4.725,
2004-02,4.813,
2004-03,4.682,
2004-04,4.568,
2004-05,5.019,
2004-06,4.182,
2004-07,4.609,
2004-08,4.563,
2004-09,4.846,
2004-10,4.620,
2004-11,4.939,
2004-12,4.053,
2005-01,4.057,
2005-02,4.074,
2005-03,4.409,
2005-04,4.421,
2005-05,4.200,
2005-06,4.539,
2005-07,4.694,
2005-08,4.364,
2005-09,4.686,
2005-10,4.805,
2005-11,4.928,
2005-12,4.966,
2006-01,5.007,
2006-02,5.296,
2006-03,5.593,
2006-04,5.354,
2006-05,4.375,
2006-06,5.054,
2006-07,6.170,
2006-08,5.744,
2006-09,5.912,
2006-10,5.742,
2006-11,6.088,
2006-12,5.404,
2007-01,5.602,
2007-02,5.791,
2007-03,6.167,
2007-04,6.193,
2007-05,4.635,
2007-06,6.029,
2007-07,5.922,
2007-08,5.816,
2007-09,6.071,
2007-10,6.101,
2007-11,6.034,
2007-12,5.654,
2008-01,5.445,
2008-02,6.387,
2008-03,6.266,
2008-04,6.109,
2008-05,6.652,
2008-06,6.604,
2008-07,6.710,
2008-08,6.477,
2008-09,7.042,
2008-10,7.685,
2008-11,8.182,
2008-12,6.947,
2009-01,8.193,
2009-02,7.834,
2009-03,8.261,
2009-04,7.892,
2009-05,7.982,
2009-06,7.899,
2009-07,7.991,
2009-08,8.514,
2009-09,8.503,
2009-10,8.652,
2009-11,8.588,
2009-12,13.347,
2010-01,8.756,
2010-02,8.884,
2010-03,7.288,
2010-04,7.780,
2010-05,7.861,
2010-06,7.947,
2010-07,7.678,
2010-08,7.769,
2010-09,8.097,
2010-10,7.992,
2010-11,7.865,
2010-12,8.037,
2011-01,10.751,
2011-02,9.230,
2011-03,8.870,
2011-04,9.209,
2011-05,9.351,
2011-06,9.020,
2011-07,9.074,
2011-08,9.625,
2011-09,10.950,
2011-10,11.556,
2011-11,12.334,
2011-12,10.046,
2012-01,11.695,
2012-02,13.001,
2012-03,12.674,
2012-04,12.494,
2012-05,12.476,
2012-06,20.120,
2012-07,14.497,
2012-08,14.099,
2012-09,13.462,
2012-10,13.593,
2012-11,13.232,
2012-12,14.179,
2013-01,18.422,
2013-02,16.970,
2013-03,16.654,
2013-04,16.141,
2013-05,16.056,
2013-06,16.206,
2013-07,14.691,
2013-08,13.420,
2013-09,14.110,
2013-10,12.488,
2013-11,12.930,
2013-12,9.865,
2014-01,8.591,
2014-02,9.305,
2014-03,10.008,
2014-04,10.383,
2014-05,10.756,
2014-06,9.847,
2014-07,12.802,
2014-08,10.085,
2014-09,10.285,
2014-10,11.048,
2014-11,11.520,
2014-12,9.128,
