"",BBK01.QUJ395,BBK01.QUJ395_FLAGS
"","Foreign branches: Claims on non-residents, total / Slovenia / US Dollars",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:46:10,
1994-01,0.015,
1994-02,0.015,
1994-03,0.014,
1994-04,0.014,
1994-05,0.014,
1994-06,0.013,
1994-07,0.013,
1994-08,0.013,
1994-09,0.013,
1994-10,0.012,
1994-11,0.013,
1994-12,0.013,
1995-01,0.011,
1995-02,0.011,
1995-03,0.010,
1995-04,0.010,
1995-05,0.010,
1995-06,0.010,
1995-07,0.010,
1995-08,0.011,
1995-09,0.010,
1995-10,0.010,
1995-11,0.009,
1995-12,0.009,
1996-01,0.025,
1996-02,0.025,
1996-03,0.025,
1996-04,0.009,
1996-05,0.018,
1996-06,0.018,
1996-07,0.017,
1996-08,0.017,
1996-09,0.017,
1996-10,0.017,
1996-11,0.012,
1996-12,0.010,
1997-01,0.010,
1997-02,0.011,
1997-03,0.010,
1997-04,0.011,
1997-05,0.017,
1997-06,0.017,
1997-07,0.017,
1997-08,0.027,
1997-09,0.017,
1997-10,0.016,
1997-11,0.016,
1997-12,0.015,
1998-01,0.043,
1998-02,0.043,
1998-03,0.030,
1998-04,0.060,
1998-05,0.014,
1998-06,0.012,
1998-07,0.012,
1998-08,0.012,
1998-09,0.011,
1998-10,0.011,
1998-11,0.012,
1998-12,0.028,
1999-01,0.006,
1999-02,0.038,
1999-03,0.015,
1999-04,0.014,
1999-05,0.006,
1999-06,.,No value available
1999-07,0.006,
1999-08,0.007,
1999-09,0.007,
1999-10,0.013,
1999-11,0.027,
1999-12,0.025,
2000-01,0.028,
2000-02,0.027,
2000-03,0.025,
2000-04,0.028,
2000-05,0.029,
2000-06,0.026,
2000-07,0.028,
2000-08,0.028,
2000-09,0.028,
2000-10,0.031,
2000-11,0.030,
2000-12,0.027,
2001-01,0.027,
2001-02,0.027,
2001-03,0.025,
2001-04,0.025,
2001-05,0.025,
2001-06,0.052,
2001-07,0.050,
2001-08,0.035,
2001-09,0.027,
2001-10,0.027,
2001-11,0.030,
2001-12,0.025,
2002-01,0.027,
2002-02,0.027,
2002-03,0.027,
2002-04,0.024,
2002-05,0.024,
2002-06,0.017,
2002-07,0.016,
2002-08,0.016,
2002-09,0.015,
2002-10,0.022,
2002-11,0.023,
2002-12,0.021,
2003-01,0.026,
2003-02,0.026,
2003-03,0.020,
2003-04,0.020,
2003-05,0.019,
2003-06,0.019,
2003-07,0.018,
2003-08,0.018,
2003-09,0.016,
2003-10,0.015,
2003-11,0.005,
2003-12,0.004,
2004-01,0.004,
2004-02,0.004,
2004-03,0.004,
2004-04,0.004,
2004-05,0.003,
2004-06,0.003,
2004-07,0.002,
2004-08,0.002,
2004-09,0.002,
2004-10,0.002,
2004-11,0.002,
2004-12,0.001,
2005-01,0.002,
2005-02,0.002,
2005-03,0.002,
2005-04,0.002,
2005-05,0.002,
2005-06,0.001,
2005-07,0.001,
2005-08,0.001,
2005-09,0.005,
2005-10,0.001,
2005-11,0.001,
2005-12,0.001,
2006-01,0.001,
2006-02,0.001,
2006-03,0.001,
2006-04,0.021,
2006-05,0.019,
2006-06,0.020,
2006-07,0.020,
2006-08,0.020,
2006-09,0.020,
2006-10,0.020,
2006-11,0.019,
2006-12,0.019,
2007-01,0.019,
2007-02,0.019,
2007-03,0.019,
2007-04,0.018,
2007-05,0.018,
2007-06,0.022,
2007-07,0.004,
2007-08,0.008,
2007-09,0.008,
2007-10,0.006,
2007-11,0.006,
2007-12,0.006,
2008-01,0.006,
2008-02,0.006,
2008-03,0.006,
2008-04,0.006,
2008-05,0.006,
2008-06,0.006,
2008-07,0.006,
2008-08,0.006,
2008-09,0.006,
2008-10,0.008,
2008-11,0.008,
2008-12,0.008,
2009-01,.,No value available
2009-02,.,No value available
2009-03,.,No value available
2009-04,0.008,
2009-05,0.008,
2009-06,.,No value available
2009-07,.,No value available
2009-08,-,Nothing exists
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,0.000,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,-,Nothing exists
2010-07,-,Nothing exists
2010-08,-,Nothing exists
2010-09,-,Nothing exists
2010-10,-,Nothing exists
2010-11,0.000,
2010-12,0.000,
2011-01,.,No value available
2011-02,0.000,
2011-03,-,Nothing exists
2011-04,.,No value available
2011-05,.,No value available
2011-06,.,No value available
2011-07,.,No value available
2011-08,.,No value available
2011-09,.,No value available
2011-10,-,Nothing exists
2011-11,-,Nothing exists
2011-12,.,No value available
2012-01,.,No value available
2012-02,-,Nothing exists
2012-03,-,Nothing exists
2012-04,-,Nothing exists
2012-05,-,Nothing exists
2012-06,-,Nothing exists
2012-07,-,Nothing exists
2012-08,-,Nothing exists
2012-09,.,No value available
2012-10,0.009,
2012-11,0.010,
2012-12,0.037,
2013-01,0.081,
2013-02,0.056,
2013-03,0.072,
2013-04,0.069,
2013-05,0.092,
2013-06,0.090,
2013-07,0.084,
2013-08,0.084,
2013-09,0.082,
2013-10,0.081,
2013-11,0.161,
2013-12,0.182,
2014-01,0.155,
2014-02,0.150,
2014-03,0.134,
2014-04,0.096,
2014-05,0.100,
2014-06,0.099,
2014-07,0.021,
2014-08,0.022,
2014-09,0.003,
2014-10,0.002,
2014-11,0.000,
