"",BBK01.OEYL02K,BBK01.OEYL02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:01,
2002-01,0.131,
2002-04,0.120,
2002-07,0.124,
2002-10,0.137,
2003-01,0.157,
2003-04,0.175,
2003-07,0.037,
2003-10,0.023,
2004-01,0.068,
2004-04,0.470,
2004-07,0.464,
2004-10,0.496,
2005-01,0.576,
2005-04,0.604,
2005-07,0.669,
2005-10,0.681,
2006-01,0.646,
2006-04,0.668,
2006-07,0.643,
2006-10,0.686,
2007-01,0.653,
2007-04,0.659,
2007-07,0.630,
2007-10,0.531,
2008-01,0.626,
2008-04,0.559,
2008-07,0.541,
2008-10,0.593,
2009-01,0.655,
2009-04,0.714,
2009-07,0.723,
2009-10,0.769,
2010-01,0.671,
2010-04,0.647,
2010-07,0.645,
2010-10,0.605,
2011-01,0.594,
2011-04,0.561,
2011-07,0.577,
2011-10,0.634,
2012-01,0.605,
2012-04,0.621,
2012-07,0.584,
2012-10,0.606,
2013-01,0.625,
2013-04,0.601,
2013-07,0.542,
2013-10,0.443,
2014-01,0.438,
2014-04,0.458,
2014-07,0.456,
