"",BBK01.OELI01N,BBK01.OELI01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:28,
2002-01,77.775,
2002-04,77.846,
2002-07,77.888,
2002-10,79.696,
2003-01,80.080,
2003-04,79.850,
2003-07,79.391,
2003-10,80.855,
2004-01,81.364,
2004-04,81.833,
2004-07,81.735,
2004-10,83.105,
2005-01,83.125,
2005-04,84.397,
2005-07,84.584,
2005-10,85.653,
2006-01,85.444,
2006-04,86.165,
2006-07,85.867,
2006-10,87.405,
2007-01,86.823,
2007-04,87.457,
2007-07,88.369,
2007-10,89.666,
2008-01,89.043,
2008-04,89.736,
2008-07,90.359,
2008-10,95.400,
2009-01,94.699,
2009-04,96.960,
2009-07,98.633,
2009-10,101.028,
2010-01,102.645,
2010-04,104.208,
2010-07,104.527,
2010-10,106.476,
2011-01,106.354,
2011-04,106.562,
2011-07,107.917,
2011-10,109.846,
2012-01,109.839,
2012-04,111.029,
2012-07,112.285,
2012-10,113.596,
2013-01,113.766,
2013-04,114.164,
2013-07,114.544,
2013-10,116.720,
2014-01,113.887,
2014-04,114.613,
2014-07,116.922,
