"",BBSF2.M.1.P.00000.GEF01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEF01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed funds / Sales receipts,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:35,
2004-01,8,
2004-02,8,
2004-03,7,
2004-04,7,
2004-05,78,
2004-06,15,
2004-07,12,
2004-08,8,
2004-09,6,
2004-10,8,
2004-11,26,
2004-12,10,
2005-01,6,
2005-02,9,
2005-03,13,
2005-04,91,
2005-05,54,
2005-06,54,
2005-07,109,
2005-08,159,
2005-09,204,
2005-10,150,
2005-11,186,
2005-12,236,
2006-01,553,
2006-02,457,
2006-03,336,
2006-04,242,
2006-05,246,
2006-06,148,
2006-07,117,
2006-08,144,
2006-09,132,
2006-10,141,
2006-11,222,
2006-12,155,
2007-01,343,
2007-02,1180,
2007-03,263,
2007-04,235,
2007-05,721,
2007-06,273,
2007-07,355,
2007-08,370,
2007-09,1132,
2007-10,762,
2007-11,935,
2007-12,732,
2008-01,1583,
2008-02,937,
2008-03,964,
2008-04,797,
2008-05,1064,
2008-06,902,
2008-07,641,
2008-08,472,
2008-09,498,
2008-10,762,
2008-11,651,
2008-12,1800,
2009-01,544,
2009-02,289,
2009-03,148,
2009-04,161,
2009-05,213,
2009-06,237,
2009-07,529,
2009-08,341,
2009-09,415,
2009-10,386,
2009-11,494,
2009-12,449,
2010-01,734,
2010-02,568,
2010-03,856,
2010-04,1407,
2010-05,663,
2010-06,480,
2010-07,555,
2010-08,593,
2010-09,510,
2010-10,576,
2010-11,653,
2010-12,705,
2011-01,915,
2011-02,638,
2011-03,615,
2011-04,430,
2011-05,376,
2011-06,220,
2011-07,336,
2011-08,525,
2011-09,325,
2011-10,298,
2011-11,310,
2011-12,327,
2012-01,374,
2012-02,492,
2012-03,496,
2012-04,883,
2012-05,300,
2012-06,262,
2012-07,517,
2012-08,489,
2012-09,577,
2012-10,573,
2012-11,583,
2012-12,556,
2013-01,855,
2013-02,652,
2013-03,534,
2013-04,646,
2013-05,544,
2013-06,557,
2013-07,785,
2013-08,311,
2013-09,531,
2013-10,390,
2013-11,516,
2013-12,515,
2014-01,481,
2014-02,533,
2014-03,580,
2014-04,493,
2014-05,470,
2014-06,476,
2014-07,514,
2014-08,501,
2014-09,297,
2014-10,345,
2014-11,306,
