"",BBK01.OEAC50V,BBK01.OEAC50V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:02,
2002-01,2.042,
2002-04,2.012,
2002-07,1.968,
2002-10,1.906,
2003-01,1.851,
2003-04,1.737,
2003-07,1.719,
2003-10,1.697,
2004-01,1.660,
2004-04,1.614,
2004-07,1.580,
2004-10,1.538,
2005-01,1.514,
2005-04,1.494,
2005-07,1.414,
2005-10,1.378,
2006-01,1.348,
2006-04,1.339,
2006-07,1.309,
2006-10,1.281,
2007-01,1.351,
2007-04,1.323,
2007-07,1.297,
2007-10,1.249,
2008-01,1.231,
2008-04,1.146,
2008-07,1.151,
2008-10,1.142,
2009-01,1.170,
2009-04,1.160,
2009-07,1.138,
2009-10,1.065,
2010-01,1.111,
2010-04,1.103,
2010-07,1.085,
2010-10,1.075,
2011-01,1.077,
2011-04,1.086,
2011-07,1.071,
2011-10,1.083,
2012-01,1.081,
2012-04,1.246,
2012-07,1.254,
2012-10,1.252,
2013-01,1.250,
2013-04,1.253,
2013-07,1.268,
2013-10,1.287,
2014-01,1.261,
2014-04,1.268,
2014-07,1.271,
