"",BBFB1.Q.N.DE.U3.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.U3.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:02,
1991-01,169.584,
1991-04,832.025,
1991-07,-110.052,
1991-10,-371.442,
1992-01,-170.801,
1992-04,1428.288,
1992-07,249.978,
1992-10,615.769,
1993-01,740.719,
1993-04,445.494,
1993-07,-3.385,
1993-10,884.903,
1994-01,1178.332,
1994-04,1344.400,
1994-07,636.638,
1994-10,2629.402,
1995-01,-743.837,
1995-04,662.087,
1995-07,581.307,
1995-10,1851.045,
1996-01,1418.758,
1996-04,339.819,
1996-07,694.885,
1996-10,1644.168,
1997-01,4165.303,
1997-04,606.130,
1997-07,2725.624,
1997-10,1745.130,
1998-01,7883.930,
1998-04,7819.908,
1998-07,1671.979,
1998-10,5438.572,
1999-01,6208.872,
1999-04,8642.337,
1999-07,3265.087,
1999-10,3000.801,
2000-01,29658.772,
2000-04,5070.373,
2000-07,8012.284,
2000-10,6516.159,
2001-01,6288.912,
2001-04,10528.012,
2001-07,2175.259,
2001-10,3277.667,
2002-01,4628.639,
2002-04,2124.349,
2002-07,2494.746,
2002-10,-1517.254,
2003-01,1740.244,
2003-04,6111.733,
2003-07,-1036.524,
2003-10,752.404,
2004-01,3703.891,
2004-04,5804.403,
2004-07,2962.836,
2004-10,3836.163,
2005-01,9601.932,
2005-04,9926.728,
2005-07,6132.838,
2005-10,953.449,
2006-01,11116.148,
2006-04,3684.366,
2006-07,3289.933,
2006-10,9528.420,
2007-01,10426.238,
2007-04,11707.532,
2007-07,4052.815,
2007-10,1691.638,
2008-01,1210.488,
2008-04,15932.544,
2008-07,-426.475,
2008-10,-10924.803,
2009-01,-1438.666,
2009-04,6415.522,
2009-07,6957.827,
2009-10,3796.967,
2010-01,7157.060,
2010-04,3618.496,
2010-07,3869.036,
2010-10,24315.615,
2011-01,7584.029,
2011-04,6336.706,
2011-07,-1717.209,
2011-10,-2637.562,
2012-01,19960.537,
2012-04,2785.076,
2012-07,4946.152,
2012-10,5076.357,
2013-01,3037.907,
2013-04,4828.985,
2013-07,3318.382,
2013-10,2781.368,
2014-01,-1359.077,Provisional value
2014-04,5860.571,Provisional value
2014-07,5522.147,Provisional value
2014-10,3702.785,Provisional value
