"",BBSF2.M.1.P.00000.IMM01.I.F.BGG.U201.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.BGG.U201.00000.000000.Z01.00_FLAGS
"","Public funds / Real estate funds / Participations in real estate companies / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:34,
2009-09,7057,
2009-10,7052,
2009-11,7079,
2009-12,7153,
2010-01,7182,
2010-02,7200,
2010-03,7329,
2010-04,7341,
2010-05,7368,
2010-06,7359,
2010-07,7208,
2010-08,7269,
2010-09,7207,
2010-10,7259,
2010-11,7271,
2010-12,7139,
2011-01,7145,
2011-02,7306,
2011-03,7258,
2011-04,7175,
2011-05,7203,
2011-06,7193,
2011-07,7190,
2011-08,7134,
2011-09,7151,
2011-10,7131,
2011-11,7056,
2011-12,7093,
2012-01,7072,
2012-02,7103,
2012-03,7016,
2012-04,6804,
2012-05,6827,
2012-06,6931,
2012-07,6844,
2012-08,6847,
2012-09,6868,
2012-10,7023,
2012-11,7037,
2012-12,7080,
2013-01,7142,
2013-02,7146,
2013-03,7058,
2013-04,6961,
2013-05,6980,
2013-06,7039,
2013-07,7011,
2013-08,7009,
2013-09,6885,
2013-10,6853,
2013-11,6857,
2013-12,6848,
2014-01,6944,
2014-02,6973,
2014-03,6944,
2014-04,6758,
2014-05,6694,
2014-06,6632,
2014-07,6572,
2014-08,6561,
2014-09,6552,
2014-10,6421,
2014-11,6429,
