"",BBFB1.Q.N.DE.ES.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:55,
1991-01,153.004,
1991-04,154.186,
1991-07,137.788,
1991-10,159.467,
1992-01,232.536,
1992-04,239.957,
1992-07,274.714,
1992-10,251.859,
1993-01,116.998,
1993-04,144.254,
1993-07,154.838,
1993-10,176.700,
1994-01,154.185,
1994-04,153.688,
1994-07,161.848,
1994-10,157.756,
1995-01,191.845,
1995-04,200.163,
1995-07,198.371,
1995-10,202.541,
1996-01,210.247,
1996-04,216.469,
1996-07,210.146,
1996-10,214.392,
1997-01,290.462,
1997-04,317.776,
1997-07,303.587,
1997-10,307.486,
1998-01,338.630,
1998-04,348.376,
1998-07,374.485,
1998-10,377.286,
1999-01,566.070,
1999-04,604.793,
1999-07,634.990,
1999-10,645.093,
2000-01,413.338,
2000-04,390.810,
2000-07,397.022,
2000-10,426.896,
2001-01,427.407,
2001-04,435.160,
2001-07,468.844,
2001-10,458.281,
2002-01,324.216,
2002-04,333.265,
2002-07,355.767,
2002-10,348.063,
2003-01,461.949,
2003-04,473.664,
2003-07,495.764,
2003-10,441.196,
2004-01,781.360,
2004-04,724.586,
2004-07,748.330,
2004-10,700.615,
2005-01,251.838,
2005-04,277.071,
2005-07,251.841,
2005-10,267.115,
2006-01,687.875,
2006-04,682.533,
2006-07,672.992,
2006-10,663.013,
2007-01,548.138,
2007-04,581.754,
2007-07,574.942,
2007-10,583.306,
2008-01,726.649,
2008-04,768.279,
2008-07,751.432,
2008-10,727.939,
2009-01,287.184,
2009-04,298.827,
2009-07,283.543,
2009-10,324.644,
2010-01,432.974,
2010-04,470.770,
2010-07,469.525,
2010-10,486.549,
2011-01,379.361,
2011-04,393.206,
2011-07,384.468,
2011-10,372.210,
2012-01,524.402,
2012-04,540.160,
2012-07,558.511,
2012-10,531.367,
2013-01,395.438,
2013-04,392.350,
2013-07,408.261,
2013-10,417.716,
2014-01,437.001,Provisional value
2014-04,457.089,Provisional value
2014-07,452.986,Provisional value
