"",BBFB1.Q.N.DE.S1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:21,
1991-01,7298.819,
1991-04,7511.463,
1991-07,8963.979,
1991-10,9616.917,
1992-01,8894.506,
1992-04,8245.060,
1992-07,8877.724,
1992-10,9675.498,
1993-01,9184.498,
1993-04,9096.235,
1993-07,9679.575,
1993-10,11306.946,
1994-01,10250.027,
1994-04,11452.758,
1994-07,11289.046,
1994-10,12109.693,
1995-01,11455.193,
1995-04,10606.889,
1995-07,10832.734,
1995-10,12621.542,
1996-01,12035.276,
1996-04,11867.683,
1996-07,12716.849,
1996-10,14021.319,
1997-01,12116.487,
1997-04,13470.695,
1997-07,14158.762,
1997-10,13934.835,
1998-01,11788.787,
1998-04,11090.586,
1998-07,10910.750,
1998-10,10782.928,
1999-01,10464.551,
1999-04,11738.935,
1999-07,12063.623,
1999-10,13381.364,
2000-01,12380.902,
2000-04,13810.479,
2000-07,15569.191,
2000-10,16119.134,
2001-01,15298.827,
2001-04,15878.867,
2001-07,15920.909,
2001-10,16079.124,
2002-01,15958.310,
2002-04,17416.590,
2002-07,17874.007,
2002-10,17762.342,
2003-01,16584.536,
2003-04,17294.868,
2003-07,19455.730,
2003-10,18180.078,
2004-01,19448.415,
2004-04,20373.674,
2004-07,19826.721,
2004-10,20179.889,
2005-01,19662.145,
2005-04,20214.123,
2005-07,22765.848,
2005-10,21658.293,
2006-01,22972.169,
2006-04,22348.979,
2006-07,25455.309,
2006-10,27726.227,
2007-01,26019.940,
2007-04,25468.897,
2007-07,27824.401,
2007-10,28198.256,
2008-01,28607.020,
2008-04,29719.093,
2008-07,30060.463,
2008-10,30919.347,
2009-01,24724.843,
2009-04,25836.887,
2009-07,29547.756,
2009-10,33124.143,
2010-01,32363.440,
2010-04,35958.964,
2010-07,38917.265,
2010-10,41007.002,
2011-01,40411.349,
2011-04,40252.071,
2011-07,42765.929,
2011-10,46161.605,
2012-01,44186.812,
2012-04,46160.402,
2012-07,46584.439,
2012-10,46065.735,
2013-01,43096.402,
2013-04,45607.559,
2013-07,47275.632,
2013-10,48109.219,
2014-01,44886.633,Provisional value
2014-04,47060.525,Provisional value
2014-07,50980.225,Provisional value
