"",BBFB1.Q.N.DE.RU.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:38,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-236.423,
1992-07,-251.462,
1992-10,-142.286,
1993-01,-311.010,
1993-04,-281.651,
1993-07,-312.099,
1993-10,186.173,
1994-01,-210.810,
1994-04,-544.492,
1994-07,-1018.014,
1994-10,-752.885,
1995-01,-685.792,
1995-04,-880.105,
1995-07,-485.665,
1995-10,-347.794,
1996-01,-374.523,
1996-04,-961.825,
1996-07,-553.863,
1996-10,-493.769,
1997-01,-475.103,
1997-04,-50.323,
1997-07,416.493,
1997-10,536.106,
1998-01,328.231,
1998-04,187.782,
1998-07,-211.584,
1998-10,-719.610,
1999-01,-1874.799,
1999-04,-761.064,
1999-07,-850.983,
1999-10,-1341.344,
2000-01,-1676.516,
2000-04,-1642.806,
2000-07,-1787.417,
2000-10,-2190.072,
2001-01,-1649.241,
2001-04,-882.352,
2001-07,-650.662,
2001-10,238.334,
2002-01,-254.570,
2002-04,-454.624,
2002-07,-43.490,
2002-10,-4.735,
2003-01,-423.050,
2003-04,111.819,
2003-07,213.138,
2003-10,-35.040,
2004-01,685.397,
2004-04,237.488,
2004-07,380.318,
2004-10,-237.940,
2005-01,-574.689,
2005-04,-992.811,
2005-07,-495.752,
2005-10,397.274,
2006-01,-1986.662,
2006-04,-1316.052,
2006-07,-218.968,
2006-10,1627.908,
2007-01,439.664,
2007-04,962.714,
2007-07,1505.610,
2007-10,250.050,
2008-01,-409.712,
2008-04,102.838,
2008-07,-1377.068,
2008-10,605.630,
2009-01,115.275,
2009-04,258.159,
2009-07,-258.455,
2009-10,-298.506,
2010-01,-962.946,
2010-04,-1510.978,
2010-07,669.057,
2010-10,393.666,
2011-01,-821.245,
2011-04,865.629,
2011-07,346.751,
2011-10,-875.967,
2012-01,-828.948,
2012-04,423.123,
2012-07,1470.657,
2012-10,315.452,
2013-01,-847.761,
2013-04,876.938,
2013-07,200.347,
2013-10,199.025,
2014-01,-1480.696,Provisional value
2014-04,-319.386,Provisional value
2014-07,769.053,Provisional value
