"",BBK01.OEYI08J,BBK01.OEYI08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:21,
2002-01,0.121,
2002-04,0.117,
2002-07,0.119,
2002-10,0.122,
2003-01,0.130,
2003-04,0.135,
2003-07,0.130,
2003-10,0.125,
2004-01,0.131,
2004-04,0.128,
2004-07,0.126,
2004-10,0.129,
2005-01,0.124,
2005-04,0.144,
2005-07,0.145,
2005-10,0.136,
2006-01,0.128,
2006-04,0.137,
2006-07,0.122,
2006-10,0.116,
2007-01,0.116,
2007-04,0.116,
2007-07,0.126,
2007-10,0.137,
2008-01,0.131,
2008-04,0.125,
2008-07,0.125,
2008-10,0.133,
2009-01,0.171,
2009-04,0.169,
2009-07,0.156,
2009-10,0.160,
2010-01,0.153,
2010-04,0.135,
2010-07,0.129,
2010-10,0.134,
2011-01,0.130,
2011-04,0.126,
2011-07,0.125,
2011-10,0.141,
2012-01,0.133,
2012-04,0.154,
2012-07,0.153,
2012-10,0.152,
2013-01,0.158,
2013-04,0.159,
2013-07,0.162,
2013-10,0.176,
2014-01,0.175,
2014-04,0.175,
2014-07,0.173,
