"",BBFB1.M.N.DE.W1.S1.S1.T.D.SK._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SK._Z._Z._Z._T._X.N_FLAGS
"","Current account / Personal, cultural, and recreational services / Expenditure / Rest of the World",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:01,
1991-01,70.887,
1991-02,68.382,
1991-03,57.953,
1991-04,142.449,
1991-05,61.264,
1991-06,73.251,
1991-07,76.289,
1991-08,65.153,
1991-09,91.749,
1991-10,49.194,
1991-11,68.834,
1991-12,87.866,
1992-01,68.153,
1992-02,63.930,
1992-03,91.832,
1992-04,47.356,
1992-05,77.856,
1992-06,121.469,
1992-07,49.029,
1992-08,80.120,
1992-09,73.942,
1992-10,115.975,
1992-11,58.327,
1992-12,92.912,
1993-01,81.520,
1993-02,105.720,
1993-03,94.732,
1993-04,107.799,
1993-05,71.640,
1993-06,117.227,
1993-07,138.954,
1993-08,117.231,
1993-09,85.858,
1993-10,78.587,
1993-11,114.141,
1993-12,139.438,
1994-01,88.699,
1994-02,99.594,
1994-03,131.029,
1994-04,77.684,
1994-05,111.554,
1994-06,129.734,
1994-07,165.080,
1994-08,154.736,
1994-09,102.274,
1994-10,137.260,
1994-11,98.511,
1994-12,164.038,
1995-01,109.829,
1995-02,96.079,
1995-03,110.575,
1995-04,124.147,
1995-05,146.532,
1995-06,101.416,
1995-07,139.642,
1995-08,102.610,
1995-09,94.174,
1995-10,125.894,
1995-11,139.659,
1995-12,151.214,
1996-01,289.732,
1996-02,116.865,
1996-03,193.715,
1996-04,202.464,
1996-05,96.881,
1996-06,180.606,
1996-07,198.329,
1996-08,119.245,
1996-09,120.334,
1996-10,110.443,
1996-11,118.410,
1996-12,215.249,
1997-01,430.591,
1997-02,105.411,
1997-03,150.488,
1997-04,160.984,
1997-05,99.398,
1997-06,246.359,
1997-07,218.085,
1997-08,174.741,
1997-09,132.136,
1997-10,226.908,
1997-11,142.494,
1997-12,186.440,
1998-01,273.927,
1998-02,161.463,
1998-03,149.871,
1998-04,150.244,
1998-05,118.123,
1998-06,116.653,
1998-07,267.082,
1998-08,154.893,
1998-09,119.281,
1998-10,193.611,
1998-11,171.217,
1998-12,339.690,
1999-01,467.105,
1999-02,158.678,
1999-03,188.325,
1999-04,159.654,
1999-05,269.499,
1999-06,276.214,
1999-07,182.057,
1999-08,206.294,
1999-09,267.795,
1999-10,253.691,
1999-11,165.839,
1999-12,741.118,
2000-01,323.722,
2000-02,263.711,
2000-03,203.172,
2000-04,206.479,
2000-05,212.002,
2000-06,229.822,
2000-07,196.890,
2000-08,182.006,
2000-09,209.051,
2000-10,239.211,
2000-11,286.965,
2000-12,1362.577,
2001-01,246.009,
2001-02,260.908,
2001-03,386.861,
2001-04,192.402,
2001-05,195.063,
2001-06,231.005,
2001-07,188.975,
2001-08,195.492,
2001-09,130.189,
2001-10,243.959,
2001-11,664.471,
2001-12,1560.169,
2002-01,208.361,
2002-02,184.548,
2002-03,166.121,
2002-04,181.298,
2002-05,142.783,
2002-06,213.226,
2002-07,175.315,
2002-08,135.412,
2002-09,113.306,
2002-10,153.038,
2002-11,97.207,
2002-12,625.981,
2003-01,227.569,
2003-02,127.695,
2003-03,121.609,
2003-04,155.285,
2003-05,90.111,
2003-06,166.299,
2003-07,135.543,
2003-08,180.845,
2003-09,221.543,
2003-10,284.347,
2003-11,133.796,
2003-12,734.378,
2004-01,241.566,
2004-02,134.027,
2004-03,147.738,
2004-04,152.008,
2004-05,131.392,
2004-06,192.644,
2004-07,245.657,
2004-08,112.342,
2004-09,173.072,
2004-10,172.401,
2004-11,110.223,
2004-12,729.479,
2005-01,212.757,
2005-02,187.447,
2005-03,137.200,
2005-04,176.766,
2005-05,157.344,
2005-06,176.331,
2005-07,164.246,
2005-08,176.192,
2005-09,168.847,
2005-10,238.233,
2005-11,176.036,
2005-12,861.282,
2006-01,315.354,
2006-02,190.982,
2006-03,151.085,
2006-04,148.033,
2006-05,155.306,
2006-06,141.554,
2006-07,170.886,
2006-08,155.570,
2006-09,197.663,
2006-10,155.491,
2006-11,188.462,
2006-12,1753.927,
2007-01,179.479,
2007-02,306.004,
2007-03,150.177,
2007-04,143.061,
2007-05,132.645,
2007-06,94.218,
2007-07,182.650,
2007-08,236.565,
2007-09,133.904,
2007-10,150.765,
2007-11,160.717,
2007-12,173.613,
2008-01,174.985,
2008-02,207.642,
2008-03,153.196,
2008-04,185.556,
2008-05,129.884,
2008-06,165.310,
2008-07,180.189,
2008-08,129.676,
2008-09,181.052,
2008-10,180.576,
2008-11,144.070,
2008-12,174.495,
2009-01,229.683,
2009-02,139.448,
2009-03,249.643,
2009-04,186.053,
2009-05,155.880,
2009-06,110.726,
2009-07,177.879,
2009-08,172.426,
2009-09,135.319,
2009-10,155.335,
2009-11,131.115,
2009-12,160.442,
2010-01,293.852,
2010-02,164.126,
2010-03,162.783,
2010-04,201.214,
2010-05,169.655,
2010-06,144.259,
2010-07,219.069,
2010-08,172.879,
2010-09,135.041,
2010-10,160.320,
2010-11,107.974,
2010-12,169.061,
2011-01,301.871,
2011-02,153.366,
2011-03,163.463,
2011-04,139.270,
2011-05,107.473,
2011-06,141.436,
2011-07,169.727,
2011-08,149.496,
2011-09,190.691,
2011-10,134.621,
2011-11,191.738,
2011-12,201.627,
2012-01,236.312,
2012-02,167.964,
2012-03,141.788,
2012-04,127.289,
2012-05,135.656,
2012-06,181.666,
2012-07,183.047,
2012-08,156.632,
2012-09,151.446,
2012-10,163.261,
2012-11,145.532,
2012-12,181.391,
2013-01,204.699,
2013-02,148.261,
2013-03,150.951,
2013-04,143.194,
2013-05,153.386,
2013-06,130.772,
2013-07,143.918,
2013-08,215.611,
2013-09,172.288,
2013-10,154.249,
2013-11,168.899,
2013-12,207.552,
2014-01,260.602,
2014-02,205.238,Provisional value
2014-03,182.612,Provisional value
2014-04,164.070,Provisional value
2014-05,250.827,Provisional value
2014-06,177.235,Provisional value
2014-07,227.140,Provisional value
2014-08,233.106,Provisional value
2014-09,204.123,
2014-10,213.532,
2014-11,190.160,
2014-12,215.048,Provisional value
