"",BBK01.OECB09U,BBK01.OECB09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:14,
2002-01,1.262,
2002-04,1.236,
2002-07,1.164,
2002-10,1.131,
2003-01,0.991,
2003-04,0.950,
2003-07,0.896,
2003-10,0.918,
2004-01,0.914,
2004-04,0.877,
2004-07,0.872,
2004-10,0.775,
2005-01,0.782,
2005-04,0.718,
2005-07,0.752,
2005-10,0.661,
2006-01,0.661,
2006-04,0.669,
2006-07,0.696,
2006-10,0.723,
2007-01,0.718,
2007-04,0.692,
2007-07,0.709,
2007-10,0.742,
2008-01,0.818,
2008-04,0.830,
2008-07,0.827,
2008-10,0.842,
2009-01,0.878,
2009-04,0.898,
2009-07,0.898,
2009-10,0.911,
2010-01,0.967,
2010-04,0.945,
2010-07,0.953,
2010-10,0.875,
2011-01,0.950,
2011-04,0.986,
2011-07,0.984,
2011-10,0.936,
2012-01,1.000,
2012-04,0.949,
2012-07,0.956,
2012-10,0.939,
2013-01,0.997,
2013-04,0.978,
2013-07,0.994,
2013-10,0.984,
2014-01,1.007,
2014-04,1.049,
2014-07,1.026,
