"",BBK01.OEHK01Q,BBK01.OEHK01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:26,
2002-01,1.372,
2002-04,1.307,
2002-07,1.284,
2002-10,1.350,
2003-01,1.334,
2003-04,1.358,
2003-07,1.391,
2003-10,1.391,
2004-01,1.316,
2004-04,1.277,
2004-07,1.279,
2004-10,1.317,
2005-01,1.260,
2005-04,1.308,
2005-07,1.362,
2005-10,1.481,
2006-01,1.385,
2006-04,1.398,
2006-07,1.502,
2006-10,1.629,
2007-01,1.545,
2007-04,1.571,
2007-07,1.645,
2007-10,1.774,
2008-01,1.712,
2008-04,1.681,
2008-07,1.743,
2008-10,1.917,
2009-01,1.785,
2009-04,1.783,
2009-07,1.672,
2009-10,1.699,
2010-01,1.689,
2010-04,1.717,
2010-07,1.746,
2010-10,1.740,
2011-01,1.692,
2011-04,1.700,
2011-07,1.770,
2011-10,1.800,
2012-01,1.729,
2012-04,1.714,
2012-07,1.812,
2012-10,1.870,
2013-01,1.817,
2013-04,1.842,
2013-07,1.928,
2013-10,1.992,
2014-01,1.946,
2014-04,1.989,
2014-07,2.089,
