"",BBFN1.M.DE.N.1.A.BR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Brazil,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:29,
1994-07,1.785,
1994-08,1.425,
1994-09,1.443,
1994-10,1.500,
1994-11,1.617,
1994-12,1.661,
1995-01,1.703,
1995-02,1.816,
1995-03,1.932,
1995-04,1.957,
1995-05,2.027,
1995-06,2.116,
1995-07,2.143,
1995-08,2.097,
1995-09,2.066,
1995-10,1.926,
1995-11,2.051,
1995-12,1.993,
1996-01,1.945,
1996-02,1.948,
1996-03,2.009,
1996-04,2.082,
1996-05,2.057,
1996-06,2.153,
1996-07,2.171,
1996-08,2.224,
1996-09,2.213,
1996-10,2.315,
1996-11,2.358,
1996-12,2.322,
1997-01,2.266,
1997-02,2.274,
1997-03,2.396,
1997-04,2.426,
1997-05,2.344,
1997-06,2.216,
1997-07,2.167,
1997-08,2.184,
1997-09,2.148,
1997-10,2.085,
1997-11,2.130,
1997-12,1.984,
1998-01,1.983,
1998-02,1.946,
1998-03,1.940,
1998-04,1.900,
1998-05,1.953,
1998-06,2.003,
1998-07,2.120,
1998-08,2.113,
1998-09,2.162,
1998-10,2.117,
1998-11,2.146,
1998-12,2.134,
1999-01,2.057,
1999-02,2.099,
1999-03,2.080,
1999-04,1.846,
1999-05,1.892,
1999-06,2.001,
1999-07,2.150,
1999-08,2.271,
1999-09,2.227,
1999-10,2.507,
1999-11,2.492,
1999-12,2.367,
2000-01,2.621,
2000-02,2.295,
2000-03,2.359,
2000-04,2.440,
2000-05,2.411,
2000-06,2.469,
2000-07,2.497,
2000-08,2.544,
2000-09,2.751,
2000-10,2.544,
2000-11,2.590,
2000-12,2.567,
2001-01,2.442,
2001-02,2.578,
2001-03,2.519,
2001-04,2.521,
2001-05,2.577,
2001-06,2.638,
2001-07,2.527,
2001-08,2.527,
2001-09,2.510,
2001-10,2.501,
2001-11,2.423,
2001-12,2.320,
2002-01,2.098,
2002-02,2.094,
2002-03,2.103,
2002-04,2.063,
2002-05,2.099,
2002-06,2.157,
2002-07,2.178,
2002-08,2.146,
2002-09,2.146,
2002-10,2.022,
2002-11,2.045,
2002-12,1.917,
2003-01,1.904,
2003-02,1.835,
2003-03,1.782,
2003-04,1.825,
2003-05,1.816,
2003-06,1.797,
2003-07,1.784,
2003-08,1.761,
2003-09,1.692,
2003-10,1.659,
2003-11,1.619,
2003-12,1.577,
2004-01,1.499,
2004-02,1.558,
2004-03,1.500,
2004-04,1.497,
2004-05,1.548,
2004-06,1.581,
2004-07,1.606,
2004-08,1.658,
2004-09,1.660,
2004-10,1.667,
2004-11,1.643,
2004-12,1.648,
2005-01,1.649,
2005-02,1.613,
2005-03,1.620,
2005-04,1.600,
2005-05,1.572,
2005-06,1.624,
2005-07,1.644,
2005-08,1.665,
2005-09,1.677,
2005-10,1.650,
2005-11,1.627,
2005-12,1.720,
2006-01,1.691,
2006-02,1.554,
2006-03,1.629,
2006-04,1.598,
2006-05,1.615,
2006-06,1.619,
2006-07,1.667,
2006-08,1.691,
2006-09,1.680,
2006-10,1.699,
2006-11,1.684,
2006-12,1.646,
2007-01,1.603,
2007-02,1.647,
2007-03,1.677,
2007-04,1.689,
2007-05,1.719,
2007-06,1.839,
2007-07,1.870,
2007-08,1.901,
2007-09,1.893,
2007-10,1.895,
2007-11,1.910,
2007-12,1.915,
2008-01,1.845,
2008-02,1.878,
2008-03,1.971,
2008-04,1.996,
2008-05,2.030,
2008-06,2.141,
2008-07,2.255,
2008-08,2.354,
2008-09,2.434,
2008-10,2.453,
2008-11,2.525,
2008-12,2.330,
2009-01,2.190,
2009-02,2.126,
2009-03,2.086,
2009-04,2.060,
2009-05,2.027,
2009-06,2.073,
2009-07,2.047,
2009-08,2.059,
2009-09,2.074,
2009-10,2.137,
2009-11,2.264,
2009-12,2.198,
2010-01,2.208,
2010-02,2.201,
2010-03,2.304,
2010-04,2.441,
2010-05,2.500,
2010-06,2.653,
2010-07,2.753,
2010-08,2.767,
2010-09,2.853,
2010-10,2.781,
2010-11,2.748,
2010-12,2.673,
2011-01,2.569,
2011-02,2.639,
2011-03,2.743,
2011-04,2.935,
2011-05,2.975,
2011-06,3.124,
2011-07,3.188,
2011-08,3.303,
2011-09,3.436,
2011-10,3.547,
2011-11,3.561,
2011-12,3.437,
2012-01,3.367,
2012-02,3.491,
2012-03,3.684,
2012-04,3.714,
2012-05,3.638,
2012-06,3.861,
2012-07,3.963,
2012-08,3.792,
2012-09,4.012,
2012-10,3.901,
2012-11,3.941,
2012-12,3.873,
2013-01,3.738,
2013-02,3.790,
2013-03,3.869,
2013-04,3.919,
2013-05,3.789,
2013-06,3.937,
2013-07,4.001,
2013-08,4.012,
2013-09,3.942,
2013-10,3.917,
2013-11,3.954,
2013-12,3.839,
2014-01,3.662,
2014-02,3.748,
2014-03,3.774,
2014-04,3.774,
2014-05,3.670,
2014-06,3.689,
2014-07,3.876,
2014-08,3.926,
2014-09,3.955,
2014-10,3.926,
2014-11,3.848,
2014-12,3.707,
