"",BBK01.OEAD02I,BBK01.OEAD02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:59,
2002-01,0.377,
2002-04,0.265,
2002-07,0.378,
2002-10,0.210,
2003-01,0.178,
2003-04,0.232,
2003-07,0.208,
2003-10,0.164,
2004-01,0.147,
2004-04,0.239,
2004-07,0.138,
2004-10,0.146,
2005-01,0.121,
2005-04,0.159,
2005-07,0.118,
2005-10,0.140,
2006-01,0.118,
2006-04,0.118,
2006-07,0.119,
2006-10,0.112,
2007-01,0.119,
2007-04,0.114,
2007-07,0.123,
2007-10,0.108,
2008-01,0.110,
2008-04,0.130,
2008-07,0.134,
2008-10,0.116,
2009-01,0.150,
2009-04,0.141,
2009-07,0.152,
2009-10,0.142,
2010-01,0.117,
2010-04,0.116,
2010-07,0.137,
2010-10,0.130,
2011-01,0.183,
2011-04,0.188,
2011-07,0.162,
2011-10,0.187,
2012-01,0.239,
2012-04,0.230,
2012-07,0.229,
2012-10,0.248,
2013-01,0.256,
2013-04,0.264,
2013-07,0.312,
2013-10,0.258,
2014-01,0.222,
2014-04,0.226,
2014-07,0.212,
