"",BBK01.OEAA16S,BBK01.OEAA16S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:00,
2002-01,1.915,
2002-04,1.926,
2002-07,1.961,
2002-10,1.993,
2003-01,1.994,
2003-04,2.002,
2003-07,2.012,
2003-10,2.011,
2004-01,2.008,
2004-04,2.010,
2004-07,2.024,
2004-10,4.044,
2005-01,4.024,
2005-04,3.992,
2005-07,3.994,
2005-10,3.954,
2006-01,3.933,
2006-04,3.901,
2006-07,3.885,
2006-10,3.921,
2007-01,3.899,
2007-04,3.820,
2007-07,3.791,
2007-10,3.769,
2008-01,3.721,
2008-04,3.682,
2008-07,3.656,
2008-10,3.602,
2009-01,3.571,
2009-04,3.544,
2009-07,3.511,
2009-10,3.495,
2010-01,3.472,
2010-04,3.440,
2010-07,3.386,
2010-10,3.329,
2011-01,3.300,
2011-04,3.281,
2011-07,3.259,
2011-10,3.240,
2012-01,3.219,
2012-04,3.199,
2012-07,3.170,
2012-10,3.153,
2013-01,3.127,
2013-04,3.089,
2013-07,3.061,
2013-10,3.031,
2014-01,3.010,
2014-04,2.972,
2014-07,2.912,
