"",BBK01.OEHB02O,BBK01.OEHB02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:18,
2002-01,4.481,
2002-04,4.452,
2002-07,4.400,
2002-10,4.236,
2003-01,4.379,
2003-04,4.409,
2003-07,4.297,
2003-10,4.173,
2004-01,4.277,
2004-04,4.245,
2004-07,4.291,
2004-10,4.117,
2005-01,4.244,
2005-04,4.202,
2005-07,4.228,
2005-10,4.241,
2006-01,4.204,
2006-04,4.174,
2006-07,4.135,
2006-10,4.162,
2007-01,4.194,
2007-04,4.166,
2007-07,4.068,
2007-10,4.071,
2008-01,4.067,
2008-04,4.080,
2008-07,3.973,
2008-10,4.099,
2009-01,4.230,
2009-04,4.320,
2009-07,4.290,
2009-10,4.251,
2010-01,4.333,
2010-04,4.359,
2010-07,4.354,
2010-10,4.293,
2011-01,4.483,
2011-04,4.609,
2011-07,4.433,
2011-10,4.300,
2012-01,4.378,
2012-04,4.457,
2012-07,4.267,
2012-10,4.319,
2013-01,4.538,
2013-04,4.415,
2013-07,4.242,
2013-10,4.094,
2014-01,4.153,
2014-04,3.940,
2014-07,3.805,
