"",BBSF2.M.1.S.I0002.SON01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.SON01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Net asset value / Pension fund institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:43,
2009-09,629,
2009-10,610,
2009-11,815,
2009-12,828,
2010-01,261,
2010-02,262,
2010-03,300,
2010-04,300,
2010-05,458,
2010-06,489,
2010-07,493,
2010-08,503,
2010-09,507,
2010-10,517,
2010-11,512,
2010-12,690,
2011-01,700,
2011-02,705,
2011-03,700,
2011-04,712,
2011-05,726,
2011-06,723,
2011-07,813,
2011-08,793,
2011-09,783,
2011-10,846,
2011-11,2101,
2011-12,2111,
2012-01,2283,
2012-02,2356,
2012-03,2386,
2012-04,2439,
2012-05,2387,
2012-06,2415,
2012-07,2550,
2012-08,2925,
2012-09,3047,
2012-10,3183,
2012-11,3292,
2012-12,3432,
2013-01,3603,
2013-02,3630,
2013-03,3691,
2013-04,4458,
2013-05,4857,
2013-06,4716,
2013-07,5089,
2013-08,5113,
2013-09,5477,
2013-10,5555,
2013-11,5524,
2013-12,5602,
2014-01,5611,
2014-02,5734,
2014-03,5810,
2014-04,5894,
2014-05,5616,
2014-06,5655,
2014-07,5956,
2014-08,5801,
2014-09,5753,
2014-10,5717,
2014-11,5837,
