"",BBFB1.Q.N.DE.PT.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:37,
1991-01,-10.098,
1991-04,10.662,
1991-07,-13.323,
1991-10,18.392,
1992-01,103.432,
1992-04,19.660,
1992-07,-80.475,
1992-10,57.757,
1993-01,22.327,
1993-04,63.666,
1993-07,41.422,
1993-10,173.527,
1994-01,-14.670,
1994-04,136.947,
1994-07,-2.914,
1994-10,-144.450,
1995-01,177.218,
1995-04,257.461,
1995-07,-81.072,
1995-10,265.415,
1996-01,48.078,
1996-04,-27.321,
1996-07,63.375,
1996-10,82.165,
1997-01,108.761,
1997-04,411.208,
1997-07,456.385,
1997-10,109.976,
1998-01,922.554,
1998-04,-367.434,
1998-07,264.074,
1998-10,1024.168,
1999-01,767.632,
1999-04,-1113.102,
1999-07,69.178,
1999-10,-1502.241,
2000-01,861.581,
2000-04,2272.426,
2000-07,-1111.676,
2000-10,-1713.948,
2001-01,1559.118,
2001-04,-143.466,
2001-07,244.523,
2001-10,1214.535,
2002-01,477.765,
2002-04,306.243,
2002-07,-1164.283,
2002-10,-110.811,
2003-01,217.146,
2003-04,1500.343,
2003-07,827.890,
2003-10,-1935.498,
2004-01,2433.816,
2004-04,-153.448,
2004-07,-1304.872,
2004-10,309.577,
2005-01,88.948,
2005-04,-1497.529,
2005-07,1156.997,
2005-10,-800.973,
2006-01,-160.371,
2006-04,-471.933,
2006-07,196.058,
2006-10,730.871,
2007-01,765.522,
2007-04,587.128,
2007-07,2416.225,
2007-10,-1699.847,
2008-01,235.585,
2008-04,1229.269,
2008-07,653.394,
2008-10,-4526.442,
2009-01,-1552.499,
2009-04,-777.465,
2009-07,281.312,
2009-10,68.460,
2010-01,-197.081,
2010-04,-784.082,
2010-07,89.383,
2010-10,12.023,
2011-01,-37.139,
2011-04,138.804,
2011-07,-315.206,
2011-10,-584.120,
2012-01,323.822,
2012-04,-122.893,
2012-07,105.990,
2012-10,-150.156,
2013-01,-221.592,
2013-04,87.868,
2013-07,-165.374,
2013-10,139.136,
2014-01,65.124,Provisional value
2014-04,-60.500,Provisional value
2014-07,421.107,Provisional value
2014-10,-835.331,Provisional value
