"",BBK01.OEAA32K,BBK01.OEAA32K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:06,
2002-01,0.170,
2002-04,0.165,
2002-07,0.166,
2002-10,0.163,
2003-01,0.160,
2003-04,0.155,
2003-07,0.155,
2003-10,0.151,
2004-01,0.181,
2004-04,0.187,
2004-07,0.186,
2004-10,0.213,
2005-01,0.208,
2005-04,0.202,
2005-07,0.198,
2005-10,0.190,
2006-01,0.180,
2006-04,0.163,
2006-07,0.153,
2006-10,0.155,
2007-01,0.134,
2007-04,0.118,
2007-07,0.128,
2007-10,0.114,
2008-01,0.118,
2008-04,0.129,
2008-07,0.126,
2008-10,0.122,
2009-01,0.122,
2009-04,0.120,
2009-07,0.118,
2009-10,0.116,
2010-01,0.109,
2010-04,0.111,
2010-07,0.108,
2010-10,0.129,
2011-01,0.133,
2011-04,0.109,
2011-07,0.106,
2011-10,0.100,
2012-01,0.096,
2012-04,0.094,
2012-07,0.096,
2012-10,0.095,
2013-01,0.080,
2013-04,0.079,
2013-07,0.078,
2013-10,0.062,
2014-01,0.054,
2014-04,0.055,
2014-07,0.052,
