"",BBFN1.M.DE.N.1.A.IT.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IT.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Italy,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:54,
1994-07,5.512,
1994-08,5.673,
1994-09,5.902,
1994-10,6.009,
1994-11,6.214,
1994-12,6.144,
1995-01,6.347,
1995-02,6.423,
1995-03,6.657,
1995-04,6.592,
1995-05,6.642,
1995-06,6.541,
1995-07,6.310,
1995-08,6.177,
1995-09,6.207,
1995-10,6.346,
1995-11,6.471,
1995-12,6.036,
1996-01,6.008,
1996-02,6.034,
1996-03,6.200,
1996-04,6.160,
1996-05,6.061,
1996-06,5.933,
1996-07,5.901,
1996-08,5.469,
1996-09,5.668,
1996-10,5.595,
1996-11,5.884,
1996-12,5.695,
1997-01,5.865,
1997-02,6.039,
1997-03,6.328,
1997-04,6.517,
1997-05,6.485,
1997-06,6.807,
1997-07,6.662,
1997-08,6.175,
1997-09,6.474,
1997-10,6.697,
1997-11,6.939,
1997-12,6.553,
1998-01,6.624,
1998-02,6.950,
1998-03,7.150,
1998-04,7.461,
1998-05,7.435,
1998-06,7.526,
1998-07,7.279,
1998-08,6.715,
1998-09,6.893,
1998-10,6.927,
1998-11,7.077,
1998-12,6.771,
1999-01,6.899,
1999-02,7.018,
1999-03,7.268,
1999-04,7.227,
1999-05,7.346,
1999-06,7.530,
1999-07,7.296,
1999-08,6.962,
1999-09,7.213,
1999-10,7.379,
1999-11,7.743,
1999-12,7.463,
2000-01,7.719,
2000-02,7.962,
2000-03,8.496,
2000-04,8.556,
2000-05,8.664,
2000-06,8.839,
2000-07,8.747,
2000-08,8.283,
2000-09,8.382,
2000-10,8.619,
2000-11,8.814,
2000-12,8.843,
2001-01,8.864,
2001-02,9.052,
2001-03,9.489,
2001-04,9.315,
2001-05,9.520,
2001-06,9.381,
2001-07,9.085,
2001-08,8.469,
2001-09,8.521,
2001-10,8.693,
2001-11,8.755,
2001-12,8.365,
2002-01,8.386,
2002-02,8.402,
2002-03,8.187,
2002-04,8.083,
2002-05,8.090,
2002-06,8.293,
2002-07,8.139,
2002-08,7.580,
2002-09,7.639,
2002-10,7.837,
2002-11,7.963,
2002-12,7.969,
2003-01,7.846,
2003-02,7.845,
2003-03,8.039,
2003-04,7.958,
2003-05,7.978,
2003-06,7.975,
2003-07,7.923,
2003-08,7.233,
2003-09,7.310,
2003-10,7.497,
2003-11,7.761,
2003-12,7.577,
2004-01,7.683,
2004-02,7.682,
2004-03,8.089,
2004-04,8.112,
2004-05,8.071,
2004-06,8.335,
2004-07,8.123,
2004-08,7.486,
2004-09,7.807,
2004-10,8.034,
2004-11,8.266,
2004-12,7.823,
2005-01,7.898,
2005-02,7.719,
2005-03,7.992,
2005-04,7.988,
2005-05,7.988,
2005-06,8.157,
2005-07,7.984,
2005-08,7.422,
2005-09,7.844,
2005-10,7.954,
2005-11,8.346,
2005-12,8.078,
2006-01,8.065,
2006-02,8.148,
2006-03,8.652,
2006-04,8.671,
2006-05,8.711,
2006-06,9.040,
2006-07,8.610,
2006-08,8.076,
2006-09,8.445,
2006-10,8.865,
2006-11,9.286,
2006-12,8.840,
2007-01,9.205,
2007-02,9.418,
2007-03,9.706,
2007-04,9.382,
2007-05,9.517,
2007-06,9.920,
2007-07,9.695,
2007-08,9.069,
2007-09,9.198,
2007-10,9.720,
2007-11,10.237,
2007-12,9.179,
2008-01,9.377,
2008-02,9.171,
2008-03,9.503,
2008-04,9.556,
2008-05,9.527,
2008-06,9.695,
2008-07,9.748,
2008-08,8.960,
2008-09,9.208,
2008-10,9.173,
2008-11,9.069,
2008-12,8.144,
2009-01,8.040,
2009-02,7.743,
2009-03,7.718,
2009-04,7.283,
2009-05,7.228,
2009-06,7.427,
2009-07,7.252,
2009-08,6.737,
2009-09,7.141,
2009-10,7.214,
2009-11,7.438,
2009-12,7.096,
2010-01,7.091,
2010-02,7.259,
2010-03,7.733,
2010-04,7.645,
2010-05,7.787,
2010-06,8.294,
2010-07,8.376,
2010-08,7.587,
2010-09,7.976,
2010-10,8.177,
2010-11,8.435,
2010-12,8.131,
2011-01,8.174,
2011-02,8.523,
2011-03,8.855,
2011-04,9.130,
2011-05,9.277,
2011-06,9.396,
2011-07,9.221,
2011-08,8.358,
2011-09,8.802,
2011-10,8.785,
2011-11,9.229,
2011-12,9.403,
2012-01,9.300,
2012-02,9.405,
2012-03,9.800,
2012-04,9.575,
2012-05,9.726,
2012-06,9.024,
2012-07,8.702,
2012-08,8.108,
2012-09,8.264,
2012-10,8.240,
2012-11,8.840,
2012-12,8.031,
2013-01,7.916,
2013-02,8.236,
2013-03,9.108,
2013-04,8.816,
2013-05,7.939,
2013-06,8.431,
2013-07,7.733,
2013-08,7.325,
2013-09,7.369,
2013-10,7.467,
2013-11,7.744,
2013-12,7.452,
2014-01,7.428,
2014-02,7.578,
2014-03,7.986,
2014-04,7.889,
2014-05,7.767,
2014-06,8.161,
2014-07,8.055,
2014-08,7.319,
2014-09,7.709,
2014-10,7.631,
2014-11,7.917,
2014-12,7.602,
