"",BBK01.OEXL07R,BBK01.OEXL07R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:30,
2002-01,0.643,
2002-04,0.606,
2002-07,0.619,
2002-10,0.626,
2003-01,0.616,
2003-04,0.588,
2003-07,0.579,
2003-10,0.572,
2004-01,0.554,
2004-04,0.531,
2004-07,0.514,
2004-10,0.401,
2005-01,0.419,
2005-04,0.417,
2005-07,0.402,
2005-10,0.418,
2006-01,0.431,
2006-04,0.432,
2006-07,0.440,
2006-10,0.465,
2007-01,0.562,
2007-04,0.590,
2007-07,0.630,
2007-10,0.695,
2008-01,0.750,
2008-04,0.776,
2008-07,0.810,
2008-10,0.934,
2009-01,0.909,
2009-04,0.881,
2009-07,0.885,
2009-10,0.829,
2010-01,0.772,
2010-04,0.752,
2010-07,0.732,
2010-10,0.785,
2011-01,0.852,
2011-04,0.863,
2011-07,0.857,
2011-10,0.864,
2012-01,0.841,
2012-04,0.839,
2012-07,0.822,
2012-10,0.788,
2013-01,0.736,
2013-04,0.696,
2013-07,0.685,
2013-10,0.680,
2014-01,0.668,
2014-04,0.651,
2014-07,0.691,
