"",BBK01.OEAO02K,BBK01.OEAO02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:30,
2002-01,2.147,
2002-04,1.764,
2002-07,1.625,
2002-10,1.916,
2003-01,1.817,
2003-04,1.544,
2003-07,1.436,
2003-10,1.628,
2004-01,1.813,
2004-04,1.370,
2004-07,1.564,
2004-10,1.801,
2005-01,1.929,
2005-04,1.795,
2005-07,1.660,
2005-10,1.680,
2006-01,2.094,
2006-04,1.818,
2006-07,1.750,
2006-10,2.073,
2007-01,2.754,
2007-04,1.924,
2007-07,1.851,
2007-10,2.175,
2008-01,2.212,
2008-04,2.006,
2008-07,1.970,
2008-10,3.420,
2009-01,2.387,
2009-04,2.070,
2009-07,2.289,
2009-10,1.973,
2010-01,2.029,
2010-04,1.569,
2010-07,1.507,
2010-10,1.712,
2011-01,1.888,
2011-04,1.894,
2011-07,1.507,
2011-10,1.365,
2012-01,1.805,
2012-04,1.353,
2012-07,1.671,
2012-10,1.426,
2013-01,1.723,
2013-04,1.322,
2013-07,1.297,
2013-10,1.409,
2014-01,1.721,
2014-04,1.575,
2014-07,1.387,
