"",BBK01.OEYM01Q,BBK01.OEYM01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:34,
2002-01,0.685,
2002-04,0.682,
2002-07,0.523,
2002-10,0.643,
2003-01,0.547,
2003-04,0.542,
2003-07,0.786,
2003-10,0.655,
2004-01,0.574,
2004-04,0.519,
2004-07,0.515,
2004-10,1.150,
2005-01,0.774,
2005-04,0.844,
2005-07,0.725,
2005-10,0.862,
2006-01,1.009,
2006-04,1.697,
2006-07,1.512,
2006-10,1.969,
2007-01,1.906,
2007-04,2.837,
2007-07,2.874,
2007-10,3.139,
2008-01,3.167,
2008-04,3.151,
2008-07,3.755,
2008-10,3.727,
2009-01,4.583,
2009-04,4.517,
2009-07,4.876,
2009-10,3.261,
2010-01,3.451,
2010-04,3.631,
2010-07,3.884,
2010-10,3.159,
2011-01,3.130,
2011-04,3.942,
2011-07,4.235,
2011-10,4.804,
2012-01,4.443,
2012-04,4.910,
2012-07,5.063,
2012-10,5.174,
2013-01,5.913,
2013-04,8.091,
2013-07,7.385,
2013-10,6.923,
2014-01,8.084,
2014-04,7.755,
2014-07,7.431,
