"",BBFB1.Q.N.DE.W03100.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:27,
1991-01,970.677,
1991-04,1074.965,
1991-07,1001.664,
1991-10,989.026,
1992-01,1019.151,
1992-04,1118.149,
1992-07,1077.536,
1992-10,1013.926,
1993-01,964.224,
1993-04,959.539,
1993-07,908.974,
1993-10,922.135,
1994-01,1008.654,
1994-04,1049.015,
1994-07,990.694,
1994-10,1003.358,
1995-01,975.310,
1995-04,1059.767,
1995-07,1021.266,
1995-10,1271.914,
1996-01,1062.118,
1996-04,1129.848,
1996-07,1184.551,
1996-10,1200.216,
1997-01,1400.782,
1997-04,1488.041,
1997-07,1436.990,
1997-10,1460.248,
1998-01,1576.189,
1998-04,2515.022,
1998-07,1550.141,
1998-10,1557.252,
1999-01,1773.351,
1999-04,2046.935,
1999-07,1840.220,
1999-10,1967.322,
2000-01,2271.047,
2000-04,2710.816,
2000-07,2500.229,
2000-10,2393.171,
2001-01,2272.656,
2001-04,2346.478,
2001-07,1996.688,
2001-10,1891.127,
2002-01,1829.678,
2002-04,1944.468,
2002-07,1779.167,
2002-10,1706.984,
2003-01,1500.362,
2003-04,1787.162,
2003-07,1523.188,
2003-10,1470.546,
2004-01,1551.795,
2004-04,1721.903,
2004-07,1709.860,
2004-10,1800.475,
2005-01,2081.562,
2005-04,2497.876,
2005-07,2511.879,
2005-10,2640.623,
2006-01,2761.161,
2006-04,3206.293,
2006-07,3262.990,
2006-10,3330.753,
2007-01,3393.419,
2007-04,3512.316,
2007-07,3171.682,
2007-10,2814.770,
2008-01,3338.723,
2008-04,2593.693,
2008-07,1942.682,
2008-10,1989.470,
2009-01,1557.092,
2009-04,2012.925,
2009-07,1760.951,
2009-10,1645.176,
2010-01,1396.242,
2010-04,1743.862,
2010-07,1710.190,
2010-10,1528.447,
2011-01,1340.582,
2011-04,1847.273,
2011-07,1897.728,
2011-10,1827.628,
2012-01,1517.006,
2012-04,1874.742,
2012-07,1721.139,
2012-10,1566.952,
2013-01,1461.814,
2013-04,1934.638,
2013-07,1737.518,
2013-10,1636.358,
2014-01,1403.631,Provisional value
2014-04,1920.011,Provisional value
2014-07,1690.476,Provisional value
