"",BBSF2.M.1.S.A0000.TOT01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.A0000.TOT01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Number / Non-residents / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:17,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,24,
1993-05,25,
1993-06,22,
1993-07,22,
1993-08,23,
1993-09,23,
1993-10,24,
1993-11,24,
1993-12,27,
1994-01,27,
1994-02,27,
1994-03,28,
1994-04,28,
1994-05,28,
1994-06,28,
1994-07,28,
1994-08,28,
1994-09,27,
1994-10,27,
1994-11,27,
1994-12,27,
1995-01,27,
1995-02,27,
1995-03,28,
1995-04,29,
1995-05,29,
1995-06,29,
1995-07,29,
1995-08,29,
1995-09,29,
1995-10,28,
1995-11,28,
1995-12,28,
1996-01,28,
1996-02,29,
1996-03,29,
1996-04,30,
1996-05,29,
1996-06,29,
1996-07,30,
1996-08,30,
1996-09,30,
1996-10,30,
1996-11,29,
1996-12,29,
1997-01,29,
1997-02,29,
1997-03,31,
1997-04,31,
1997-05,31,
1997-06,30,
1997-07,31,
1997-08,30,
1997-09,31,
1997-10,31,
1997-11,32,
1997-12,31,
1998-01,33,
1998-02,33,
1998-03,34,
1998-04,33,
1998-05,33,
1998-06,33,
1998-07,32,
1998-08,32,
1998-09,32,
1998-10,32,
1998-11,34,
1998-12,36,
1999-01,39,
1999-02,41,
1999-03,40,
1999-04,42,
1999-05,42,
1999-06,41,
1999-07,44,
1999-08,43,
1999-09,44,
1999-10,45,
1999-11,46,
1999-12,50,
2000-01,50,
2000-02,46,
2000-03,47,
2000-04,49,
2000-05,51,
2000-06,51,
2000-07,50,
2000-08,50,
2000-09,49,
2000-10,52,
2000-11,51,
2000-12,51,
2001-01,51,
2001-02,53,
2001-03,51,
2001-04,54,
2001-05,54,
2001-06,54,
2001-07,51,
2001-08,49,
2001-09,49,
2001-10,48,
2001-11,50,
2001-12,49,
2002-01,49,
2002-02,49,
2002-03,48,
2002-04,48,
2002-05,47,
2002-06,47,
2002-07,46,
2002-08,46,
2002-09,44,
2002-10,44,
2002-11,44,
2002-12,43,
2003-01,44,
2003-02,44,
2003-03,44,
2003-04,43,
2003-05,43,
2003-06,43,
2003-07,41,
2003-08,41,
2003-09,40,
2003-10,40,
2003-11,40,
2003-12,42,
2004-01,42,
2004-02,42,
2004-03,42,
2004-04,43,
2004-05,43,
2004-06,43,
2004-07,43,
2004-08,43,
2004-09,41,
2004-10,40,
2004-11,39,
2004-12,37,
2005-01,36,
2005-02,37,
2005-03,37,
2005-04,37,
2005-05,36,
2005-06,36,
2005-07,36,
2005-08,39,
2005-09,39,
2005-10,36,
2005-11,37,
2005-12,35,
2006-01,35,
2006-02,35,
2006-03,35,
2006-04,34,
2006-05,35,
2006-06,36,
2006-07,36,
2006-08,36,
2006-09,37,
2006-10,38,
2006-11,37,
2006-12,38,
2007-01,38,
2007-02,39,
2007-03,39,
2007-04,39,
2007-05,39,
2007-06,34,
2007-07,34,
2007-08,34,
2007-09,34,
2007-10,34,
2007-11,34,
2007-12,34,
2008-01,31,
2008-02,31,
2008-03,31,
2008-04,32,
2008-05,32,
2008-06,32,
2008-07,32,
2008-08,32,
2008-09,32,
2008-10,32,
2008-11,33,
2008-12,32,
2009-01,31,
2009-02,33,
2009-03,34,
2009-04,35,
2009-05,33,
2009-06,33,
2009-07,35,
2009-08,34,
2009-09,26,
2009-10,24,
2009-11,22,
2009-12,22,
2010-01,21,
2010-02,21,
2010-03,20,
2010-04,20,
2010-05,20,
2010-06,20,
2010-07,21,
2010-08,21,
2010-09,20,
2010-10,20,
2010-11,19,
2010-12,18,
2011-01,18,
2011-02,18,
2011-03,18,
2011-04,19,
2011-05,21,
2011-06,23,
2011-07,23,
2011-08,23,
2011-09,29,
2011-10,29,
2011-11,28,
2011-12,29,
2012-01,29,
2012-02,28,
2012-03,27,
2012-04,28,
2012-05,28,
2012-06,28,
2012-07,28,
2012-08,28,
2012-09,28,
2012-10,27,
2012-11,27,
2012-12,27,
2013-01,27,
2013-02,26,
2013-03,26,
2013-04,28,
2013-05,27,
2013-06,28,
2013-07,31,
2013-08,31,
2013-09,32,
2013-10,32,
2013-11,30,
2013-12,30,
2014-01,30,
2014-02,30,
2014-03,31,
2014-04,31,
2014-05,31,
2014-06,31,
2014-07,33,
2014-08,33,
2014-09,33,
2014-10,33,
2014-11,33,
