"",BBK01.OEAF05I,BBK01.OEAF05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:33,
2002-01,7.355,
2002-04,7.429,
2002-07,7.508,
2002-10,7.388,
2003-01,7.419,
2003-04,8.116,
2003-07,7.156,
2003-10,6.758,
2004-01,6.442,
2004-04,6.539,
2004-07,6.523,
2004-10,6.350,
2005-01,6.864,
2005-04,6.774,
2005-07,7.122,
2005-10,7.170,
2006-01,7.278,
2006-04,7.261,
2006-07,7.208,
2006-10,6.740,
2007-01,6.703,
2007-04,6.827,
2007-07,6.900,
2007-10,6.751,
2008-01,7.034,
2008-04,7.906,
2008-07,8.210,
2008-10,9.421,
2009-01,9.378,
2009-04,9.645,
2009-07,9.753,
2009-10,11.044,
2010-01,10.289,
2010-04,10.333,
2010-07,9.921,
2010-10,9.795,
2011-01,9.430,
2011-04,9.306,
2011-07,9.211,
2011-10,8.351,
2012-01,8.260,
2012-04,8.141,
2012-07,7.909,
2012-10,7.838,
2013-01,7.571,
2013-04,7.622,
2013-07,7.756,
2013-10,7.889,
2014-01,7.575,
2014-04,7.637,
2014-07,7.789,
