"",BBK01.OEXO02O,BBK01.OEXO02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:35,
2002-01,-1.010,
2002-04,-0.743,
2002-07,-0.778,
2002-10,-0.849,
2003-01,-1.087,
2003-04,-1.018,
2003-07,-1.052,
2003-10,-1.028,
2004-01,-1.305,
2004-04,-1.219,
2004-07,-0.914,
2004-10,-1.018,
2005-01,0.232,
2005-04,0.202,
2005-07,0.185,
2005-10,0.228,
2006-01,0.279,
2006-04,0.248,
2006-07,0.197,
2006-10,0.253,
2007-01,0.428,
2007-04,0.284,
2007-07,0.303,
2007-10,0.387,
2008-01,0.371,
2008-04,0.301,
2008-07,0.326,
2008-10,0.685,
2009-01,0.317,
2009-04,0.288,
2009-07,0.312,
2009-10,0.307,
2010-01,0.260,
2010-04,0.183,
2010-07,0.185,
2010-10,0.412,
2011-01,0.403,
2011-04,0.231,
2011-07,0.188,
2011-10,0.227,
2012-01,0.251,
2012-04,0.205,
2012-07,0.190,
2012-10,0.188,
2013-01,0.163,
2013-04,0.142,
2013-07,0.131,
2013-10,0.128,
2014-01,0.132,
2014-04,0.113,
2014-07,0.231,
