"",BBK01.CEF4I0,BBK01.CEF4I0_FLAGS
"",Loans                                                            debtor: Households (incl. NPISH) creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:55,
1999-01,1379.8,
1999-04,1413.3,
1999-07,1431.9,
1999-10,1453.4,
2000-01,1457.7,
2000-04,1475.6,
2000-07,1487.1,
2000-10,1500.9,
2001-01,1500.5,
2001-04,1505.9,
2001-07,1516.9,
2001-10,1522.4,
2002-01,1517.5,
2002-04,1521.9,
2002-07,1529.5,
2002-10,1538.4,
2003-01,1534.6,
2003-04,1541.4,
2003-07,1550.2,
2003-10,1554.2,
2004-01,1543.0,
2004-04,1548.1,
2004-07,1556.5,
2004-10,1557.7,
2005-01,1544.0,
2005-04,1549.7,
2005-07,1553.8,
2005-10,1554.8,
2006-01,1554.6,
2006-04,1556.5,
2006-07,1561.3,
2006-10,1556.7,
2007-01,1547.5,
2007-04,1545.6,
2007-07,1542.2,
2007-10,1536.5,
2008-01,1525.6,
2008-04,1526.7,
2008-07,1525.5,
2008-10,1521.4,
2009-01,1513.0,
2009-04,1517.0,
2009-07,1520.8,
2009-10,1518.0,
2010-01,1512.0,
2010-04,1517.7,
2010-07,1522.7,
2010-10,1523.1,
2011-01,1519.2,
2011-04,1523.9,
2011-07,1535.1,
2011-10,1538.6,
2012-01,1536.7,
2012-04,1543.1,
2012-07,1549.1,
2012-10,1553.2,
2013-01,1549.6,
2013-04,1555.4,
2013-07,1563.3,
2013-10,1563.9,
2014-01,1564.2,
2014-04,1570.0,
2014-07,1579.1,
