"",BBK01.OEAC20J,BBK01.OEAC20J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:46,
2002-01,1.318,
2002-04,1.307,
2002-07,1.276,
2002-10,1.167,
2003-01,1.143,
2003-04,1.175,
2003-07,0.961,
2003-10,0.962,
2004-01,1.194,
2004-04,1.208,
2004-07,1.144,
2004-10,0.940,
2005-01,1.031,
2005-04,0.970,
2005-07,1.009,
2005-10,0.926,
2006-01,1.039,
2006-04,1.048,
2006-07,1.001,
2006-10,0.953,
2007-01,1.063,
2007-04,1.032,
2007-07,1.005,
2007-10,1.077,
2008-01,1.048,
2008-04,1.089,
2008-07,1.090,
2008-10,1.042,
2009-01,1.113,
2009-04,1.026,
2009-07,0.923,
2009-10,0.920,
2010-01,0.755,
2010-04,1.005,
2010-07,0.957,
2010-10,0.990,
2011-01,1.053,
2011-04,1.049,
2011-07,1.012,
2011-10,1.050,
2012-01,1.046,
2012-04,1.057,
2012-07,1.205,
2012-10,1.296,
2013-01,1.248,
2013-04,1.178,
2013-07,1.323,
2013-10,1.186,
2014-01,1.062,
2014-04,1.051,
2014-07,0.969,
