"",BBFB1.Q.N.DE.CZ.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:42,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,-69.517,
1993-04,146.825,
1993-07,75.764,
1993-10,18.091,
1994-01,98.202,
1994-04,190.690,
1994-07,146.025,
1994-10,451.796,
1995-01,255.627,
1995-04,388.076,
1995-07,439.454,
1995-10,551.940,
1996-01,418.388,
1996-04,284.271,
1996-07,222.706,
1996-10,622.646,
1997-01,397.140,
1997-04,129.770,
1997-07,4.134,
1997-10,217.267,
1998-01,151.577,
1998-04,614.280,
1998-07,653.761,
1998-10,275.334,
1999-01,230.623,
1999-04,333.392,
1999-07,85.101,
1999-10,824.896,
2000-01,298.934,
2000-04,301.735,
2000-07,551.655,
2000-10,733.364,
2001-01,-62.818,
2001-04,330.784,
2001-07,159.536,
2001-10,-769.169,
2002-01,369.405,
2002-04,3997.704,
2002-07,188.749,
2002-10,-3428.189,
2003-01,-1206.948,
2003-04,188.569,
2003-07,234.322,
2003-10,1011.758,
2004-01,-877.089,
2004-04,968.515,
2004-07,398.880,
2004-10,917.851,
2005-01,472.534,
2005-04,625.295,
2005-07,244.114,
2005-10,2136.066,
2006-01,-572.360,
2006-04,487.111,
2006-07,990.354,
2006-10,633.944,
2007-01,369.107,
2007-04,566.744,
2007-07,94.454,
2007-10,714.485,
2008-01,845.791,
2008-04,1912.053,
2008-07,1363.580,
2008-10,-545.576,
2009-01,169.561,
2009-04,1066.596,
2009-07,-867.990,
2009-10,-922.725,
2010-01,941.733,
2010-04,257.664,
2010-07,965.471,
2010-10,782.017,
2011-01,218.463,
2011-04,559.886,
2011-07,406.278,
2011-10,25.541,
2012-01,850.509,
2012-04,-919.589,
2012-07,-166.731,
2012-10,-236.217,
2013-01,576.003,
2013-04,-24.596,
2013-07,-179.547,
2013-10,249.693,
2014-01,107.662,Provisional value
2014-04,-383.506,Provisional value
2014-07,-3.930,Provisional value
2014-10,-1084.075,Provisional value
