"",BBK01.OEAF25V,BBK01.OEAF25V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:38,
2002-01,1.756,
2002-04,1.725,
2002-07,1.765,
2002-10,1.929,
2003-01,1.932,
2003-04,0.921,
2003-07,0.943,
2003-10,0.951,
2004-01,0.818,
2004-04,0.857,
2004-07,0.873,
2004-10,0.868,
2005-01,1.046,
2005-04,1.045,
2005-07,1.161,
2005-10,1.144,
2006-01,1.141,
2006-04,1.168,
2006-07,1.185,
2006-10,1.231,
2007-01,1.254,
2007-04,1.297,
2007-07,1.327,
2007-10,1.128,
2008-01,1.128,
2008-04,1.149,
2008-07,1.139,
2008-10,1.332,
2009-01,1.367,
2009-04,1.378,
2009-07,1.387,
2009-10,1.416,
2010-01,1.016,
2010-04,1.340,
2010-07,1.315,
2010-10,1.254,
2011-01,1.225,
2011-04,1.195,
2011-07,1.192,
2011-10,1.113,
2012-01,1.086,
2012-04,1.069,
2012-07,1.175,
2012-10,1.147,
2013-01,1.135,
2013-04,1.147,
2013-07,1.169,
2013-10,1.162,
2014-01,1.160,
2014-04,0.978,
2014-07,0.990,
