"",BBK01.OEHO03V,BBK01.OEHO03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:19,
2002-01,1.805,
2002-04,1.519,
2002-07,1.293,
2002-10,1.366,
2003-01,1.461,
2003-04,1.427,
2003-07,1.237,
2003-10,1.345,
2004-01,1.354,
2004-04,1.153,
2004-07,1.164,
2004-10,1.242,
2005-01,1.299,
2005-04,1.161,
2005-07,1.081,
2005-10,1.187,
2006-01,1.336,
2006-04,1.255,
2006-07,1.163,
2006-10,1.314,
2007-01,1.468,
2007-04,1.278,
2007-07,1.246,
2007-10,1.283,
2008-01,1.338,
2008-04,1.196,
2008-07,1.162,
2008-10,1.179,
2009-01,1.054,
2009-04,1.127,
2009-07,1.124,
2009-10,1.145,
2010-01,1.033,
2010-04,0.909,
2010-07,0.806,
2010-10,0.851,
2011-01,0.982,
2011-04,0.978,
2011-07,0.864,
2011-10,0.859,
2012-01,0.873,
2012-04,0.827,
2012-07,0.795,
2012-10,0.906,
2013-01,0.911,
2013-04,0.814,
2013-07,0.772,
2013-10,0.778,
2014-01,0.763,
2014-04,0.766,
2014-07,0.721,
