"",BBK01.OEYI02G,BBK01.OEYI02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:40,
2002-01,8.209,
2002-04,8.943,
2002-07,8.264,
2002-10,7.580,
2003-01,9.536,
2003-04,12.110,
2003-07,10.071,
2003-10,8.401,
2004-01,8.734,
2004-04,10.044,
2004-07,10.611,
2004-10,8.288,
2005-01,10.944,
2005-04,12.310,
2005-07,16.780,
2005-10,14.982,
2006-01,17.188,
2006-04,19.655,
2006-07,19.550,
2006-10,20.381,
2007-01,25.886,
2007-04,27.501,
2007-07,27.596,
2007-10,21.420,
2008-01,22.693,
2008-04,27.598,
2008-07,24.604,
2008-10,27.915,
2009-01,27.831,
2009-04,29.660,
2009-07,32.346,
2009-10,30.133,
2010-01,35.995,
2010-04,36.553,
2010-07,36.881,
2010-10,34.263,
2011-01,33.915,
2011-04,35.754,
2011-07,42.628,
2011-10,32.721,
2012-01,41.774,
2012-04,40.641,
2012-07,42.989,
2012-10,38.190,
2013-01,44.579,
2013-04,47.198,
2013-07,41.497,
2013-10,41.545,
2014-01,44.404,
2014-04,46.677,
2014-07,43.942,
