"",BBK01.OEHB15Q,BBK01.OEHB15Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:50,
2002-01,0.464,
2002-04,0.470,
2002-07,0.466,
2002-10,0.459,
2003-01,0.460,
2003-04,0.469,
2003-07,0.449,
2003-10,0.436,
2004-01,0.446,
2004-04,0.447,
2004-07,0.415,
2004-10,0.386,
2005-01,0.392,
2005-04,0.404,
2005-07,0.409,
2005-10,0.398,
2006-01,0.377,
2006-04,0.389,
2006-07,0.390,
2006-10,0.369,
2007-01,0.347,
2007-04,0.337,
2007-07,0.343,
2007-10,0.350,
2008-01,0.337,
2008-04,0.339,
2008-07,0.332,
2008-10,0.317,
2009-01,0.293,
2009-04,0.294,
2009-07,0.295,
2009-10,0.297,
2010-01,0.292,
2010-04,0.300,
2010-07,0.258,
2010-10,0.253,
2011-01,0.250,
2011-04,0.261,
2011-07,0.253,
2011-10,0.252,
2012-01,0.254,
2012-04,0.249,
2012-07,0.253,
2012-10,0.243,
2013-01,0.233,
2013-04,0.230,
2013-07,0.228,
2013-10,0.236,
2014-01,0.240,
2014-04,0.262,
2014-07,0.265,
