"",BBK01.WJ5010,BBK01.WJ5010_FLAGS
"",Exchange rates on the Frankfurt exchange / NOK 100 = DM ... / Norway,
unit,DEM (hypothetically euro-based),
unit multiplier,one,
last update,2012-04-18 09:19:13,
1953,58.400,
1954,58.635,
1955,58.662,
1956,58.563,
1957,58.703,
1958,58.563,
1959,58.638,
1960,58.471,
1961,56.318,
1962,56.015,
1963,55.765,
1964,55.540,
1965,55.868,
1966,55.921,
1967,55.757,
1968,55.895,
1969,54.934,
1970,51.043,
1971,49.588,
1972,48.417,
1973,46.263,
1974,46.859,
1975,47.104,
1976,46.144,
1977,43.634,
1978,38.336,
1979,36.206,
1980,36.784,
1981,39.377,
1982,37.713,
1983,34.991,
1984,34.893,
1985,34.210,
1986,29.379,
1987,26.687,
1988,26.942,
1989,27.230,
1990,25.817,
1991,25.580,
1992,25.143,
1993,23.303,
1994,22.982,
1995,22.614,
1996,23.292,
1997,24.508,
1998,23.297,
"","General: Average calculated from daily quotations. From 14 December 1953 to 30 December 1998 official quotation on the Frankfurt exchange. From January 1999, euro reference exchange rates of the European Central Bank; see wj5631.",
