"",BBFB1.Q.N.DE.HU.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:53,
1991-01,-50.005,
1991-04,40.970,
1991-07,72.364,
1991-10,349.008,
1992-01,422.105,
1992-04,107.359,
1992-07,116.420,
1992-10,-0.915,
1993-01,693.206,
1993-04,22.136,
1993-07,371.999,
1993-10,275.057,
1994-01,490.842,
1994-04,8.726,
1994-07,37.228,
1994-10,286.863,
1995-01,44.564,
1995-04,332.340,
1995-07,112.058,
1995-10,940.166,
1996-01,-209.281,
1996-04,62.157,
1996-07,-25.439,
1996-10,288.799,
1997-01,-96.558,
1997-04,-137.291,
1997-07,411.730,
1997-10,587.518,
1998-01,1499.335,
1998-04,974.854,
1998-07,359.603,
1998-10,719.746,
1999-01,334.860,
1999-04,717.591,
1999-07,304.764,
1999-10,449.266,
2000-01,1105.289,
2000-04,466.618,
2000-07,383.722,
2000-10,296.077,
2001-01,745.193,
2001-04,-245.449,
2001-07,79.312,
2001-10,170.964,
2002-01,298.613,
2002-04,72.214,
2002-07,766.580,
2002-10,-684.303,
2003-01,599.217,
2003-04,1431.260,
2003-07,110.915,
2003-10,7.576,
2004-01,314.257,
2004-04,152.277,
2004-07,-212.883,
2004-10,1727.281,
2005-01,1611.052,
2005-04,-20.194,
2005-07,905.751,
2005-10,341.036,
2006-01,1606.919,
2006-04,698.316,
2006-07,584.275,
2006-10,-251.076,
2007-01,1050.452,
2007-04,1861.272,
2007-07,271.161,
2007-10,381.677,
2008-01,2159.161,
2008-04,-85.039,
2008-07,888.932,
2008-10,277.269,
2009-01,-1098.008,
2009-04,-257.329,
2009-07,246.713,
2009-10,969.722,
2010-01,36.552,
2010-04,-104.087,
2010-07,-1010.973,
2010-10,3089.778,
2011-01,-551.138,
2011-04,-904.713,
2011-07,-673.119,
2011-10,-649.506,
2012-01,-323.634,
2012-04,-526.022,
2012-07,-1141.801,
2012-10,-612.039,
2013-01,-778.326,
2013-04,-160.038,
2013-07,1279.327,
2013-10,-218.048,
2014-01,527.129,Provisional value
2014-04,1087.067,Provisional value
2014-07,-91.875,Provisional value
2014-10,740.494,Provisional value
