"",BBDE1.M.DE.Y.AEM1.A2P300000.F.V.I10.A,BBDE1.M.DE.Y.AEM1.A2P300000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, total / At current prices, flows / Germany / Industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:50,
2010-01,88.6,
2010-02,90.5,
2010-03,94.7,
2010-04,98.1,
2010-05,99.2,
2010-06,99.9,
2010-07,101.3,
2010-08,102.8,
2010-09,102.9,
2010-10,103.9,
2010-11,107.0,
2010-12,106.8,
2011-01,111.4,
2011-02,111.0,
2011-03,110.1,
2011-04,109.5,
2011-05,108.5,
2011-06,107.9,
2011-07,110.5,
2011-08,110.0,
2011-09,108.1,
2011-10,107.8,
2011-11,106.2,
2011-12,106.9,
2012-01,107.5,
2012-02,107.7,
2012-03,108.2,
2012-04,108.0,
2012-05,109.1,
2012-06,106.3,
2012-07,107.6,
2012-08,106.3,
2012-09,105.4,
2012-10,106.9,
2012-11,105.8,
2012-12,107.1,
2013-01,105.9,
2013-02,106.6,
2013-03,108.0,
2013-04,107.7,
2013-05,106.6,
2013-06,108.2,
2013-07,107.6,
2013-08,108.7,
2013-09,109.5,
2013-10,110.0,
2013-11,110.7,
2013-12,109.7,
2014-01,112.4,
2014-02,112.1,
2014-03,110.5,
2014-04,111.6,
2014-05,108.0,
2014-06,109.6,
2014-07,111.6,
2014-08,108.0,
2014-09,110.8,
2014-10,114.6,
2014-11,113.4,
2014-12,115.5,Provisional value
