"",BBFN1.M.DE.N.1.A.IN.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IN.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / India,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:44,
1982-09,0.009,
1982-10,0.009,
1982-11,0.009,
1982-12,0.010,
1983-01,0.008,
1983-02,0.009,
1983-03,0.009,
1983-04,0.009,
1983-05,0.009,
1983-06,0.008,
1983-07,0.008,
1983-08,0.007,
1983-09,0.007,
1983-10,0.007,
1983-11,0.007,
1983-12,0.008,
1984-01,0.006,
1984-02,0.006,
1984-03,0.006,
1984-04,0.006,
1984-05,0.006,
1984-06,0.006,
1984-07,0.006,
1984-08,0.006,
1984-09,0.006,
1984-10,0.006,
1984-11,0.006,
1984-12,0.007,
1985-01,0.007,
1985-02,0.007,
1985-03,0.007,
1985-04,0.007,
1985-05,0.007,
1985-06,0.007,
1985-07,0.007,
1985-08,0.007,
1985-09,0.007,
1985-10,0.007,
1985-11,0.007,
1985-12,0.007,
1986-01,0.007,
1986-02,0.007,
1986-03,0.007,
1986-04,0.007,
1986-05,0.007,
1986-06,0.010,
1986-07,0.010,
1986-08,0.010,
1986-09,0.010,
1986-10,0.010,
1986-11,0.010,
1986-12,0.009,
1987-01,0.009,
1987-02,0.009,
1987-03,0.009,
1987-04,0.009,
1987-05,0.009,
1987-06,0.009,
1987-07,0.009,
1987-08,0.009,
1987-09,0.009,
1987-10,0.009,
1987-11,0.009,
1987-12,0.008,
1988-01,0.008,
1988-02,0.008,
1988-03,0.008,
1988-04,0.009,
1988-05,0.009,
1988-06,0.009,
1988-07,0.009,
1988-08,0.009,
1988-09,0.009,
1988-10,0.009,
1988-11,0.009,
1988-12,0.008,
1989-01,0.008,
1989-02,0.008,
1989-03,0.008,
1989-04,0.008,
1989-05,0.008,
1989-06,0.008,
1989-07,0.008,
1989-08,0.011,
1989-09,0.011,
1989-10,0.008,
1989-11,0.008,
1989-12,0.011,
1990-01,0.011,
1990-02,0.012,
1990-03,0.012,
1990-04,0.013,
1990-05,0.013,
1990-06,0.013,
1990-07,0.013,
1990-08,0.013,
1990-09,0.013,
1990-10,0.013,
1990-11,0.013,
1990-12,0.012,
1991-01,0.013,
1991-02,0.013,
1991-03,0.013,
1991-04,0.013,
1991-05,0.014,
1991-06,0.014,
1991-07,0.014,
1991-08,0.014,
1991-09,0.014,
1991-10,0.009,
1991-11,0.009,
1991-12,0.008,
1992-01,0.008,
1992-02,0.008,
1992-03,0.008,
1992-04,0.008,
1992-05,0.008,
1992-06,0.008,
1992-07,0.008,
1992-08,0.007,
1992-09,0.007,
1992-10,0.007,
1992-11,0.007,
1992-12,0.008,
1993-01,0.008,
1993-02,0.008,
1993-03,0.008,
1993-04,0.008,
1993-05,0.008,
1993-06,0.011,
1993-07,0.011,
1993-08,0.016,
1993-09,0.016,
1993-10,0.016,
1993-11,0.016,
1993-12,0.016,
1994-01,0.016,
1994-02,0.021,
1994-03,0.021,
1994-04,0.021,
1994-05,0.021,
1994-06,0.023,
1994-07,0.019,
1994-08,0.024,
1994-09,0.021,
1994-10,0.021,
1994-11,0.021,
1994-12,0.021,
1995-01,0.021,
1995-02,0.022,
1995-03,0.021,
1995-04,0.022,
1995-05,0.022,
1995-06,0.023,
1995-07,0.030,
1995-08,0.035,
1995-09,0.039,
1995-10,0.037,
1995-11,0.038,
1995-12,0.038,
1996-01,0.039,
1996-02,0.039,
1996-03,0.040,
1996-04,0.040,
1996-05,0.039,
1996-06,0.039,
1996-07,0.038,
1996-08,0.040,
1996-09,0.042,
1996-10,0.041,
1996-11,0.041,
1996-12,0.040,
1997-01,0.041,
1997-02,0.041,
1997-03,0.043,
1997-04,0.044,
1997-05,0.052,
1997-06,0.053,
1997-07,0.055,
1997-08,0.055,
1997-09,0.057,
1997-10,0.057,
1997-11,0.059,
1997-12,0.060,
1998-01,0.060,
1998-02,0.057,
1998-03,0.062,
1998-04,0.054,
1998-05,0.057,
1998-06,0.057,
1998-07,0.057,
1998-08,0.058,
1998-09,0.058,
1998-10,0.058,
1998-11,0.056,
1998-12,0.052,
1999-01,0.052,
1999-02,0.052,
1999-03,0.054,
1999-04,0.053,
1999-05,0.051,
1999-06,0.052,
1999-07,0.052,
1999-08,0.055,
1999-09,0.053,
1999-10,0.054,
1999-11,0.054,
1999-12,0.059,
2000-01,0.058,
2000-02,0.059,
2000-03,0.059,
2000-04,0.059,
2000-05,0.061,
2000-06,0.060,
2000-07,0.060,
2000-08,0.061,
2000-09,0.061,
2000-10,0.059,
2000-11,0.061,
2000-12,0.067,
2001-01,0.075,
2001-02,0.072,
2001-03,0.081,
2001-04,0.080,
2001-05,0.079,
2001-06,0.081,
2001-07,0.083,
2001-08,0.079,
2001-09,0.079,
2001-10,0.076,
2001-11,0.077,
2001-12,0.078,
2002-01,0.081,
2002-02,0.081,
2002-03,0.086,
2002-04,0.085,
2002-05,0.111,
2002-06,0.110,
2002-07,0.109,
2002-08,0.109,
2002-09,0.111,
2002-10,0.110,
2002-11,0.108,
2002-12,0.106,
2003-01,0.105,
2003-02,0.109,
2003-03,0.116,
2003-04,0.116,
2003-05,0.119,
2003-06,0.124,
2003-07,0.122,
2003-08,0.134,
2003-09,0.141,
2003-10,0.188,
2003-11,0.203,
2003-12,0.193,
2004-01,0.214,
2004-02,0.214,
2004-03,0.244,
2004-04,0.241,
2004-05,0.241,
2004-06,0.239,
2004-07,0.237,
2004-08,0.237,
2004-09,0.239,
2004-10,0.243,
2004-11,0.236,
2004-12,0.228,
2005-01,0.227,
2005-02,0.227,
2005-03,0.234,
2005-04,0.244,
2005-05,0.248,
2005-06,0.252,
2005-07,0.248,
2005-08,0.252,
2005-09,0.255,
2005-10,0.256,
2005-11,0.256,
2005-12,0.272,
2006-01,0.278,
2006-02,0.283,
2006-03,0.291,
2006-04,0.296,
2006-05,0.296,
2006-06,0.292,
2006-07,0.292,
2006-08,0.292,
2006-09,0.292,
2006-10,0.300,
2006-11,0.309,
2006-12,0.305,
2007-01,0.304,
2007-02,0.302,
2007-03,0.353,
2007-04,0.359,
2007-05,0.366,
2007-06,0.357,
2007-07,0.372,
2007-08,0.379,
2007-09,0.368,
2007-10,0.377,
2007-11,0.375,
2007-12,0.369,
2008-01,0.361,
2008-02,0.362,
2008-03,0.348,
2008-04,0.344,
2008-05,0.341,
2008-06,0.336,
2008-07,0.337,
2008-08,0.345,
2008-09,0.353,
2008-10,0.355,
2008-11,0.357,
2008-12,0.353,
2009-01,0.363,
2009-02,0.375,
2009-03,0.379,
2009-04,0.380,
2009-05,0.378,
2009-06,0.366,
2009-07,0.366,
2009-08,0.369,
2009-09,0.341,
2009-10,0.343,
2009-11,0.381,
2009-12,0.387,
2010-01,0.358,
2010-02,0.376,
2010-03,0.388,
2010-04,0.390,
2010-05,0.405,
2010-06,0.416,
2010-07,0.434,
2010-08,0.443,
2010-09,0.435,
2010-10,0.507,
2010-11,0.515,
2010-12,0.544,
2011-01,0.547,
2011-02,0.579,
2011-03,0.628,
2011-04,0.634,
2011-05,0.729,
2011-06,0.737,
2011-07,0.758,
2011-08,0.772,
2011-09,0.776,
2011-10,0.798,
2011-11,0.795,
2011-12,0.807,
2012-01,0.855,
2012-02,0.833,
2012-03,0.834,
2012-04,0.837,
2012-05,0.921,
2012-06,0.923,
2012-07,0.930,
2012-08,0.930,
2012-09,0.942,
2012-10,0.960,
2012-11,0.951,
2012-12,0.981,
2013-01,1.007,
2013-02,1.010,
2013-03,1.017,
2013-04,1.040,
2013-05,1.067,
2013-06,1.069,
2013-07,1.076,
2013-08,1.074,
2013-09,1.064,
2013-10,1.094,
2013-11,1.085,
2013-12,1.129,
2014-01,1.167,
2014-02,1.117,
2014-03,1.179,
2014-04,1.187,
2014-05,1.213,
2014-06,1.196,
2014-07,1.221,
2014-08,1.209,
2014-09,1.217,
2014-10,1.262,
2014-11,1.263,
2014-12,1.266,
