"",BBSF2.M.1.T.00000.HED01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.HED01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Hedgefunds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:08,
2009-09,130,
2009-10,172,
2009-11,179,
2009-12,202,
2010-01,178,
2010-02,128,
2010-03,370,
2010-04,-6420,
2010-05,-1988,
2010-06,327,
2010-07,89,
2010-08,98,
2010-09,97,
2010-10,127,
2010-11,97,
2010-12,130,
2011-01,122,
2011-02,123,
2011-03,154,
2011-04,153,
2011-05,128,
2011-06,123,
2011-07,164,
2011-08,134,
2011-09,133,
2011-10,130,
2011-11,133,
2011-12,142,
2012-01,164,
2012-02,125,
2012-03,173,
2012-04,411,
2012-05,213,
2012-06,234,
2012-07,211,
2012-08,199,
2012-09,211,
2012-10,211,
2012-11,198,
2012-12,183,
2013-01,183,
2013-02,261,
2013-03,178,
2013-04,189,
2013-05,208,
2013-06,173,
2013-07,198,
2013-08,219,
2013-09,208,
2013-10,223,
2013-11,203,
2013-12,180,
2014-01,265,
2014-02,197,
2014-03,211,
2014-04,364,
2014-05,213,
2014-06,202,
2014-07,217,
2014-08,216,
2014-09,201,
2014-10,172,
2014-11,162,
