"",BBK01.OEAN01H,BBK01.OEAN01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:48,
2002-01,99.933,
2002-04,98.103,
2002-07,97.651,
2002-10,100.465,
2003-01,101.415,
2003-04,101.588,
2003-07,103.089,
2003-10,106.148,
2004-01,106.936,
2004-04,107.565,
2004-07,108.435,
2004-10,111.505,
2005-01,118.005,
2005-04,118.117,
2005-07,117.998,
2005-10,118.758,
2006-01,117.646,
2006-04,115.933,
2006-07,113.361,
2006-10,112.577,
2007-01,110.193,
2007-04,107.586,
2007-07,104.766,
2007-10,104.701,
2008-01,101.916,
2008-04,99.473,
2008-07,96.194,
2008-10,97.927,
2009-01,102.019,
2009-04,105.498,
2009-07,108.773,
2009-10,113.079,
2010-01,115.607,
2010-04,116.595,
2010-07,117.569,
2010-10,120.433,
2011-01,121.620,
2011-04,120.939,
2011-07,120.038,
2011-10,121.752,
2012-01,123.023,
2012-04,122.402,
2012-07,122.252,
2012-10,123.650,
2013-01,123.299,
2013-04,121.852,
2013-07,120.381,
2013-10,121.053,
2014-01,120.131,
2014-04,119.462,
2014-07,119.334,
