"",BBK01.OEXJ04N,BBK01.OEXJ04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:43,
2002-01,2.748,
2002-04,2.916,
2002-07,2.854,
2002-10,3.447,
2003-01,3.241,
2003-04,3.724,
2003-07,2.436,
2003-10,2.883,
2004-01,2.399,
2004-04,2.621,
2004-07,2.788,
2004-10,2.742,
2005-01,2.738,
2005-04,3.618,
2005-07,3.662,
2005-10,3.250,
2006-01,3.040,
2006-04,3.242,
2006-07,3.646,
2006-10,3.621,
2007-01,3.910,
2007-04,4.132,
2007-07,5.771,
2007-10,5.607,
2008-01,5.570,
2008-04,5.387,
2008-07,5.008,
2008-10,5.021,
2009-01,4.516,
2009-04,4.476,
2009-07,4.995,
2009-10,5.000,
2010-01,5.375,
2010-04,5.713,
2010-07,5.509,
2010-10,5.370,
2011-01,5.625,
2011-04,5.556,
2011-07,5.489,
2011-10,5.085,
2012-01,4.692,
2012-04,4.763,
2012-07,4.687,
2012-10,3.823,
2013-01,5.689,
2013-04,5.400,
2013-07,4.971,
2013-10,5.184,
2014-01,4.923,
2014-04,5.177,
2014-07,5.095,
