"",BBK01.SU1014,BBK01.SU1014_FLAGS
"",Lending to non-banks (non-MFIs) / Building loans / Securities (including Treasury bills and Treasury discount paper) / All building and loan associations,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 10:44:27,
1973-12,0.139,
1974-01,0.138,
1974-02,0.137,
1974-03,0.129,
1974-04,0.124,
1974-05,0.123,
1974-06,0.120,
1974-07,0.117,
1974-08,0.118,
1974-09,0.118,
1974-10,0.110,
1974-11,0.110,
1974-12,0.120,
1975-01,0.123,
1975-02,0.129,
1975-03,0.127,
1975-04,0.134,
1975-05,0.138,
1975-06,0.140,
1975-07,0.142,
1975-08,0.153,
1975-09,0.150,
1975-10,0.142,
1975-11,0.170,
1975-12,0.194,
1976-01,0.190,
1976-02,0.197,
1976-03,0.255,
1976-04,0.245,
1976-05,0.243,
1976-06,0.241,
1976-07,0.238,
1976-08,0.239,
1976-09,0.252,
1976-10,0.231,
1976-11,0.304,
1976-12,0.361,
1977-01,0.368,
1977-02,0.364,
1977-03,0.363,
1977-04,0.369,
1977-05,0.381,
1977-06,0.399,
1977-07,0.409,
1977-08,0.460,
1977-09,0.487,
1977-10,0.503,
1977-11,0.519,
1977-12,0.558,
1978-01,0.607,
1978-02,0.593,
1978-03,0.573,
1978-04,0.574,
1978-05,0.549,
1978-06,0.594,
1978-07,0.586,
1978-08,0.576,
1978-09,0.557,
1978-10,0.541,
1978-11,0.562,
1978-12,0.555,
1979-01,0.572,
1979-02,0.574,
1979-03,0.588,
1979-04,0.597,
1979-05,0.549,
1979-06,0.524,
1979-07,0.508,
1979-08,0.486,
1979-09,0.465,
1979-10,0.470,
1979-11,0.461,
1979-12,0.412,
1980-01,0.423,
1980-02,0.426,
1980-03,0.400,
1980-04,0.396,
1980-05,0.391,
1980-06,0.366,
1980-07,0.346,
1980-08,0.313,
1980-09,0.299,
1980-10,0.289,
1980-11,0.302,
1980-12,0.278,
1981-01,0.279,
1981-02,0.278,
1981-03,0.268,
1981-04,0.267,
1981-05,0.263,
1981-06,0.256,
1981-07,0.229,
1981-08,0.210,
1981-09,0.206,
1981-10,0.215,
1981-11,0.206,
1981-12,0.184,
1982-01,0.188,
1982-02,0.178,
1982-03,0.173,
1982-04,0.180,
1982-05,0.183,
1982-06,0.183,
1982-07,0.178,
1982-08,0.174,
1982-09,0.188,
1982-10,0.191,
1982-11,0.189,
1982-12,0.201,
1983-01,0.239,
1983-02,0.242,
1983-03,0.264,
1983-04,0.268,
1983-05,0.268,
1983-06,0.267,
1983-07,0.256,
1983-08,0.260,
1983-09,0.262,
1983-10,0.275,
1983-11,0.276,
1983-12,0.281,
1984-01,0.284,
1984-02,0.278,
1984-03,0.304,
1984-04,0.304,
1984-05,0.298,
1984-06,0.309,
1984-07,0.314,
1984-08,0.314,
1984-09,0.323,
1984-10,0.323,
1984-11,0.318,
1984-12,0.323,
1985-01,0.332,
1985-02,0.328,
1985-03,0.315,
1985-04,0.315,
1985-05,0.311,
1985-06,0.309,
1985-07,0.305,
1985-08,0.302,
1985-09,0.298,
1985-10,0.292,
1985-11,0.292,
1985-12,0.274,
1986-01,0.278,
1986-02,0.282,
1986-03,0.299,
1986-04,0.284,
1986-05,0.281,
1986-06,0.285,
1986-07,0.291,
1986-08,0.282,
1986-09,0.288,
1986-10,0.271,
1986-11,0.284,
1986-12,0.315,
1987-01,0.256,
1987-02,0.269,
1987-03,0.281,
1987-04,0.273,
1987-05,0.287,
1987-06,0.283,
1987-07,0.288,
1987-08,0.266,
1987-09,0.266,
1987-10,0.277,
1987-11,0.274,
1987-12,0.395,
1988-01,0.486,
1988-02,0.581,
1988-03,0.653,
1988-04,0.642,
1988-05,0.730,
1988-06,0.768,
1988-07,0.729,
1988-08,0.780,
1988-09,0.875,
1988-10,0.904,
1988-11,1.143,
1988-12,1.098,
1989-01,1.224,
1989-02,1.262,
1989-03,1.472,
1989-04,1.499,
1989-05,1.648,
1989-06,1.621,
1989-07,1.444,
1989-08,1.618,
1989-09,1.646,
1989-10,1.571,
1989-11,1.687,
1989-12,1.786,
1990-01,2.016,
1990-02,2.088,
1990-03,2.063,
1990-04,2.049,
1990-05,2.077,
1990-06,2.103,
1990-07,2.109,
1990-08,2.195,
1990-09,2.282,
1990-10,2.272,
1990-11,2.286,
1990-12,2.270,
1991-01,1.832,
