"",BBK01.CEBPQ2,BBK01.CEBPQ2_FLAGS
"",Time deposits (consolidated) debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:15,
1991-01,355.5,
1991-04,343.3,
1991-07,335.2,
1991-10,352.5,
1992-01,353.6,
1992-04,335.7,
1992-07,328.5,
1992-10,354.9,
1993-01,368.0,
1993-04,381.3,
1993-07,391.4,
1993-10,437.5,
1994-01,422.5,
1994-04,410.0,
1994-07,419.4,
1994-10,446.9,
1995-01,444.8,
1995-04,469.8,
1995-07,484.1,
1995-10,492.7,
1996-01,505.6,
1996-04,516.9,
1996-07,514.3,
1996-10,540.4,
1997-01,558.5,
1997-04,563.7,
1997-07,567.6,
1997-10,597.1,
1998-01,605.6,
1998-04,612.2,
1998-07,603.1,
1998-10,641.4,
1999-01,631.0,
1999-04,630.2,
1999-07,659.5,
1999-10,686.2,
2000-01,698.0,
2000-04,698.5,
2000-07,735.7,
2000-10,745.3,
2001-01,766.4,
2001-04,758.1,
2001-07,791.5,
2001-10,826.5,
2002-01,840.2,
2002-04,842.7,
2002-07,894.9,
2002-10,913.4,
2003-01,958.6,
2003-04,997.5,
2003-07,982.6,
2003-10,1005.4,
2004-01,1029.4,
2004-04,1058.1,
2004-07,1062.9,
2004-10,1155.6,
2005-01,1180.9,
2005-04,1207.1,
2005-07,1251.6,
2005-10,1262.5,
2006-01,1324.9,
2006-04,1367.5,
2006-07,1387.8,
2006-10,1407.1,
2007-01,1441.1,
2007-04,1493.2,
2007-07,1548.1,
2007-10,1615.8,
2008-01,1628.8,
2008-04,1626.1,
2008-07,1715.6,
2008-10,1695.5,
2009-01,1669.0,
2009-04,1663.3,
2009-07,1590.3,
2009-10,1633.3,
2010-01,1590.3,
2010-04,1635.6,
2010-07,1586.7,
2010-10,1538.4,
2011-01,1480.1,
2011-04,1516.7,
2011-07,1582.5,
2011-10,1550.3,
2012-01,1500.5,
2012-04,1493.9,
2012-07,1477.9,
2012-10,1409.1,
2013-01,1426.4,
2013-04,1443.0,
2013-07,1282.3,
2013-10,1276.9,
2014-01,1330.9,
