"",BBK01.OEXB04L,BBK01.OEXB04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:35,
2002-01,20.847,
2002-04,21.905,
2002-07,23.271,
2002-10,24.382,
2003-01,25.875,
2003-04,25.383,
2003-07,26.388,
2003-10,30.268,
2004-01,31.817,
2004-04,33.419,
2004-07,34.507,
2004-10,35.317,
2005-01,38.466,
2005-04,41.530,
2005-07,43.641,
2005-10,56.777,
2006-01,62.336,
2006-04,64.597,
2006-07,66.109,
2006-10,68.671,
2007-01,71.361,
2007-04,71.994,
2007-07,76.425,
2007-10,83.264,
2008-01,86.070,
2008-04,84.092,
2008-07,85.513,
2008-10,86.584,
2009-01,86.429,
2009-04,86.340,
2009-07,88.106,
2009-10,88.421,
2010-01,89.587,
2010-04,92.074,
2010-07,95.458,
2010-10,97.777,
2011-01,98.574,
2011-04,101.083,
2011-07,103.033,
2011-10,103.679,
2012-01,103.343,
2012-04,105.370,
2012-07,106.000,
2012-10,101.962,
2013-01,101.794,
2013-04,101.848,
2013-07,103.067,
2013-10,104.180,
2014-01,104.959,
2014-04,105.575,
2014-07,108.142,
