"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.SE.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.SE.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Sweden / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:43,
2009-09,295,
2009-10,299,
2009-11,346,
2009-12,353,
2010-01,341,
2010-02,328,
2010-03,288,
2010-04,287,
2010-05,284,
2010-06,283,
2010-07,307,
2010-08,294,
2010-09,308,
2010-10,316,
2010-11,325,
2010-12,344,
2011-01,350,
2011-02,350,
2011-03,347,
2011-04,336,
2011-05,358,
2011-06,351,
2011-07,352,
2011-08,384,
2011-09,316,
2011-10,342,
2011-11,347,
2011-12,367,
2012-01,378,
2012-02,409,
2012-03,387,
2012-04,404,
2012-05,479,
2012-06,491,
2012-07,483,
2012-08,478,
2012-09,478,
2012-10,440,
2012-11,459,
2012-12,439,
2013-01,477,
2013-02,544,
2013-03,574,
2013-04,592,
2013-05,609,
2013-06,593,
2013-07,579,
2013-08,582,
2013-09,573,
2013-10,574,
2013-11,586,
2013-12,546,
2014-01,549,
2014-02,583,
2014-03,564,
2014-04,534,
2014-05,486,
2014-06,479,
2014-07,460,
2014-08,476,
2014-09,492,
2014-10,511,
2014-11,510,
