"",BBSF2.M.1.S.A0000.GEF01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.A0000.GEF01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net asset value / Non-residents / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:43,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,-,Nothing exists
2004-06,-,Nothing exists
2004-07,-,Nothing exists
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,-,Nothing exists
2004-12,-,Nothing exists
2005-01,-,Nothing exists
2005-02,-,Nothing exists
2005-03,-,Nothing exists
2005-04,-,Nothing exists
2005-05,-,Nothing exists
2005-06,-,Nothing exists
2005-07,-,Nothing exists
2005-08,50,
2005-09,51,
2005-10,75,
2005-11,214,
2005-12,239,
2006-01,240,
2006-02,242,
2006-03,241,
2006-04,239,
2006-05,236,
2006-06,264,
2006-07,265,
2006-08,267,
2006-09,250,
2006-10,249,
2006-11,246,
2006-12,367,
2007-01,365,
2007-02,363,
2007-03,363,
2007-04,365,
2007-05,367,
2007-06,365,
2007-07,360,
2007-08,352,
2007-09,339,
2007-10,336,
2007-11,333,
2007-12,306,
2008-01,196,
2008-02,197,
2008-03,195,
2008-04,201,
2008-05,199,
2008-06,192,
2008-07,192,
2008-08,207,
2008-09,193,
2008-10,190,
2008-11,415,
2008-12,288,
2009-01,266,
2009-02,255,
2009-03,257,
2009-04,1046,
2009-05,1345,
2009-06,584,
2009-07,767,
2009-08,710,
2009-09,733,
2009-10,560,
2009-11,599,
2009-12,2195,
2010-01,579,
2010-02,570,
2010-03,572,
2010-04,560,
2010-05,548,
2010-06,524,
2010-07,540,
2010-08,540,
2010-09,537,
2010-10,540,
2010-11,497,
2010-12,359,
2011-01,363,
2011-02,368,
2011-03,360,
2011-04,370,
2011-05,369,
2011-06,395,
2011-07,396,
2011-08,398,
2011-09,394,
2011-10,397,
2011-11,391,
2011-12,394,
2012-01,399,
2012-02,399,
2012-03,400,
2012-04,396,
2012-05,409,
2012-06,387,
2012-07,387,
2012-08,433,
2012-09,420,
2012-10,414,
2012-11,411,
2012-12,415,
2013-01,405,
2013-02,422,
2013-03,423,
2013-04,427,
2013-05,155,
2013-06,153,
2013-07,154,
2013-08,152,
2013-09,168,
2013-10,171,
2013-11,139,
2013-12,139,
2014-01,145,
2014-02,144,
2014-03,145,
2014-04,145,
2014-05,147,
2014-06,137,
2014-07,139,
2014-08,140,
2014-09,145,
2014-10,144,
2014-11,146,
