"",BBSF2.M.1.P.00000.SON01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.SON01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Other funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:13,
2009-09,312,
2009-10,261,
2009-11,172,
2009-12,187,
2010-01,178,
2010-02,183,
2010-03,194,
2010-04,197,
2010-05,178,
2010-06,170,
2010-07,173,
2010-08,288,
2010-09,178,
2010-10,307,
2010-11,410,
2010-12,201,
2011-01,200,
2011-02,197,
2011-03,196,
2011-04,236,
2011-05,311,
2011-06,209,
2011-07,214,
2011-08,302,
2011-09,281,
2011-10,294,
2011-11,707,
2011-12,185,
2012-01,194,
2012-02,200,
2012-03,192,
2012-04,258,
2012-05,505,
2012-06,557,
2012-07,212,
2012-08,301,
2012-09,194,
2012-10,191,
2012-11,197,
2012-12,199,
2013-01,208,
2013-02,213,
2013-03,220,
2013-04,211,
2013-05,216,
2013-06,204,
2013-07,208,
2013-08,213,
2013-09,211,
2013-10,219,
2013-11,221,
2013-12,287,
2014-01,285,
2014-02,299,
2014-03,340,
2014-04,352,
2014-05,433,
2014-06,371,
2014-07,380,
2014-08,391,
2014-09,400,
2014-10,380,
2014-11,398,
