"",BBK01.XS8837,BBK01.XS8837_FLAGS
"",Imports / Product Classification for Production Statistics from 2002 / 24 Chemical products / Seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-28 07:39:32,
1995-01,2.49,
1995-02,2.62,
1995-03,2.78,
1995-04,2.62,
1995-05,2.54,
1995-06,2.65,
1995-07,2.62,
1995-08,2.40,
1995-09,2.74,
1995-10,2.73,
1995-11,2.70,
1995-12,2.71,
1996-01,2.72,
1996-02,2.63,
1996-03,2.51,
1996-04,2.64,
1996-05,2.55,
1996-06,2.54,
1996-07,2.47,
1996-08,2.57,
1996-09,2.71,
1996-10,2.76,
1996-11,2.70,
1996-12,2.84,
1997-01,2.78,
1997-02,2.81,
1997-03,2.78,
1997-04,2.70,
1997-05,3.01,
1997-06,2.92,
1997-07,2.99,
1997-08,2.99,
1997-09,2.92,
1997-10,3.04,
1997-11,3.42,
1997-12,2.88,
1998-01,3.66,
1998-02,3.22,
1998-03,3.42,
1998-04,3.66,
1998-05,3.57,
1998-06,3.80,
1998-07,3.66,
1998-08,3.36,
1998-09,3.12,
1998-10,3.18,
1998-11,3.10,
1998-12,3.34,
1999-01,2.97,
1999-02,3.74,
1999-03,3.64,
1999-04,3.32,
1999-05,3.41,
1999-06,3.18,
1999-07,4.07,
1999-08,4.67,
1999-09,3.72,
1999-10,3.82,
1999-11,3.84,
1999-12,3.98,
2000-01,4.09,
2000-02,3.70,
2000-03,4.10,
2000-04,3.92,
2000-05,4.17,
2000-06,3.89,
2000-07,3.70,
2000-08,5.55,
2000-09,4.35,
2000-10,4.86,
2000-11,4.80,
2000-12,5.59,
2001-01,4.39,
2001-02,5.18,
2001-03,4.46,
2001-04,5.16,
2001-05,4.78,
2001-06,5.07,
2001-07,5.12,
2001-08,4.90,
2001-09,5.21,
2001-10,5.22,
2001-11,5.14,
2001-12,3.90,
2002-01,4.59,
2002-02,5.10,
2002-03,4.38,
2002-04,5.14,
2002-05,4.34,
2002-06,4.89,
2002-07,4.39,
2002-08,5.18,
2002-09,5.10,
2002-10,4.91,
2002-11,4.80,
2002-12,5.24,
2003-01,4.84,
2003-02,4.88,
2003-03,4.97,
2003-04,4.96,
2003-05,5.01,
2003-06,4.90,
2003-07,4.77,
2003-08,4.49,
2003-09,5.16,
2003-10,4.87,
2003-11,5.22,
2003-12,4.81,
2004-01,5.49,
2004-02,5.46,
2004-03,5.24,
2004-04,5.27,
2004-05,5.41,
2004-06,5.38,
2004-07,5.51,
2004-08,5.61,
2004-09,5.58,
2004-10,6.06,
2004-11,6.11,
2004-12,5.58,
2005-01,5.81,
2005-02,5.74,
2005-03,5.65,
2005-04,6.04,
2005-05,6.10,
2005-06,5.72,
2005-07,6.60,
2005-08,6.04,
2005-09,6.11,
2005-10,6.52,
2005-11,6.36,
2005-12,6.46,
2006-01,6.84,
2006-02,6.72,
2006-03,6.86,
2006-04,6.67,
2006-05,6.76,
2006-06,6.87,
2006-07,6.84,
2006-08,6.96,
2006-09,7.24,
2006-10,7.42,
2006-11,7.22,
2006-12,7.51,
2007-01,7.51,
2007-02,7.63,
2007-03,7.73,
2007-04,7.67,
2007-05,7.40,
2007-06,7.88,
2007-07,7.73,
2007-08,8.33,
2007-09,7.74,
2007-10,7.79,
2007-11,8.06,
2007-12,7.72,
2008-01,7.80,
2008-02,7.89,
2008-03,7.80,
2008-04,7.93,
2008-05,7.44,
2008-06,7.87,
2008-07,8.20,
2008-08,8.18,
2008-09,8.77,
2008-10,8.08,
2008-11,7.48,
2008-12,7.19,
