"",BBK01.OEAC02T,BBK01.OEAC02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:40,
2002-01,1.444,
2002-04,1.503,
2002-07,1.528,
2002-10,1.539,
2003-01,1.576,
2003-04,1.561,
2003-07,1.637,
2003-10,1.632,
2004-01,1.640,
2004-04,1.636,
2004-07,1.571,
2004-10,1.527,
2005-01,1.511,
2005-04,1.455,
2005-07,1.400,
2005-10,1.399,
2006-01,1.437,
2006-04,1.409,
2006-07,1.422,
2006-10,1.348,
2007-01,1.329,
2007-04,1.140,
2007-07,1.095,
2007-10,1.063,
2008-01,1.143,
2008-04,1.176,
2008-07,1.159,
2008-10,1.177,
2009-01,1.228,
2009-04,1.156,
2009-07,1.150,
2009-10,1.194,
2010-01,1.178,
2010-04,1.183,
2010-07,1.236,
2010-10,1.130,
2011-01,1.146,
2011-04,1.139,
2011-07,1.134,
2011-10,1.167,
2012-01,1.178,
2012-04,1.219,
2012-07,1.231,
2012-10,1.212,
2013-01,1.246,
2013-04,1.186,
2013-07,1.232,
2013-10,1.151,
2014-01,1.142,
2014-04,1.129,
2014-07,1.201,
