"",BBK01.OEAF04J,BBK01.OEAF04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:45,
2002-01,3.988,
2002-04,4.015,
2002-07,3.602,
2002-10,3.629,
2003-01,3.762,
2003-04,3.764,
2003-07,4.073,
2003-10,4.949,
2004-01,4.927,
2004-04,4.942,
2004-07,4.566,
2004-10,4.587,
2005-01,4.952,
2005-04,4.976,
2005-07,5.065,
2005-10,5.082,
2006-01,5.075,
2006-04,5.045,
2006-07,5.041,
2006-10,5.026,
2007-01,4.974,
2007-04,5.004,
2007-07,4.963,
2007-10,4.945,
2008-01,4.857,
2008-04,4.880,
2008-07,4.757,
2008-10,4.644,
2009-01,4.602,
2009-04,4.580,
2009-07,4.311,
2009-10,4.115,
2010-01,1.899,
2010-04,3.926,
2010-07,4.338,
2010-10,4.310,
2011-01,4.283,
2011-04,4.158,
2011-07,4.278,
2011-10,3.806,
2012-01,4.256,
2012-04,4.278,
2012-07,4.296,
2012-10,4.347,
2013-01,4.334,
2013-04,4.399,
2013-07,4.411,
2013-10,4.415,
2014-01,4.223,
2014-04,4.271,
2014-07,4.081,
