"",BBSF2.M.1.T.00000.DGE01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DGE01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:45,
2009-09,93,
2009-10,87,
2009-11,80,
2009-12,79,
2010-01,74,
2010-02,81,
2010-03,48,
2010-04,56,
2010-05,86,
2010-06,78,
2010-07,159,
2010-08,307,
2010-09,387,
2010-10,367,
2010-11,147,
2010-12,207,
2011-01,490,
2011-02,100,
2011-03,131,
2011-04,114,
2011-05,96,
2011-06,144,
2011-07,97,
2011-08,145,
2011-09,164,
2011-10,126,
2011-11,124,
2011-12,151,
2012-01,155,
2012-02,113,
2012-03,390,
2012-04,371,
2012-05,276,
2012-06,253,
2012-07,335,
2012-08,151,
2012-09,336,
2012-10,353,
2012-11,650,
2012-12,466,
2013-01,612,
2013-02,625,
2013-03,628,
2013-04,482,
2013-05,322,
2013-06,477,
2013-07,327,
2013-08,464,
2013-09,366,
2013-10,328,
2013-11,432,
2013-12,541,
2014-01,743,
2014-02,676,
2014-03,778,
2014-04,652,
2014-05,638,
2014-06,723,
2014-07,754,
2014-08,739,
2014-09,634,
2014-10,627,
2014-11,615,
