"",BBK01.OEHJ08L,BBK01.OEHJ08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:58,
2002-01,0.041,
2002-04,0.037,
2002-07,0.035,
2002-10,0.036,
2003-01,0.030,
2003-04,0.075,
2003-07,0.071,
2003-10,0.072,
2004-01,0.080,
2004-04,0.091,
2004-07,0.098,
2004-10,0.097,
2005-01,0.103,
2005-04,0.083,
2005-07,0.104,
2005-10,0.104,
2006-01,0.112,
2006-04,0.111,
2006-07,0.106,
2006-10,0.106,
2007-01,0.099,
2007-04,0.084,
2007-07,0.084,
2007-10,0.084,
2008-01,0.083,
2008-04,0.073,
2008-07,0.058,
2008-10,0.064,
2009-01,0.062,
2009-04,0.057,
2009-07,0.076,
2009-10,0.088,
2010-01,0.086,
2010-04,0.106,
2010-07,0.123,
2010-10,0.136,
2011-01,0.140,
2011-04,0.139,
2011-07,0.137,
2011-10,0.137,
2012-01,0.140,
2012-04,0.142,
2012-07,0.139,
2012-10,0.140,
2013-01,0.142,
2013-04,0.133,
2013-07,0.117,
2013-10,0.116,
2014-01,0.110,
2014-04,0.093,
2014-07,0.090,
